TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,835700,58713504
417,2565048,176191872
520,18787876,241240276
624,25755828,241359196
727,34522936,248987564
830,34522936,248987564
933,49431964,265262892
1037,58162976,273994368
1140,69245328,290877852
1243,72228496,290929432
1346,86532256,304247368
1449,111009504,315580956
1553,118814860,315753252
1656,135746900,318213852
1759,135746900,318213852
1862,145753860,321698524
1965,157767936,332331008
2068,175231984,351667276
2171,193405896,371160048
2275,209092728,379951944
2378,223041700,380192496
2481,223041700,380192496
2584,238217700,380451496
2687,248192920,381069128
2790,262825172,395176092
2894,277978680,408828508
2997,289163048,415727136
3100,301130408,415930116
3203,309368808,416070716
3307,324544808,416329716
3410,324544808,416329716
3513,334533080,418746384
3617,345270796,437433888
3720,353535212,437574932
3823,373118892,438669168
3926,373118892,438669168
4030,383525292,438852244
4133,393064492,439009568
4236,405157068,449957556
4339,419816708,451591784
4442,419816708,451591784
4546,435426308,451858184
