TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,837932,59004552
1862,2114200,146581772
1965,3329340,230388384
2069,4539516,313867032
2172,5763644,397701888
2275,6984116,482048252
2378,8110160,559967664
2482,9280100,640674840
2585,10450472,721025808
2688,62712472,782735684
2792,121163708,842058768
2895,179825396,901761852
2998,238496256,961539876
3102,297158988,1020556056
3205,355502820,1079773848
3308,414109980,1137978844
3412,472929888,1196813036
3515,531722972,1254801856
3618,590328740,1313641720
3722,649412348,1372721740
3825,708225392,1432106712
3929,767054424,1492091216
4032,825991856,1552073744
4136,884638960,1611585480
4239,943348500,1671383256
4342,1002154924,1731326096
4446,1061405708,1790331616
4550,1120615964,1850064952
4653,1163930164,1892369048
