RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,99149,70663.55,781.478,,,,,,,,,,,99149,2699.890,15.522,,,
100,1,695,669.339,0.288,,,,,,,,,,,695,22.163,0.000,,,
100,2,805,821.534,0.378,,,,,,,,,,,805,29.257,0.000,,,
100,3,781,785.024,0.574,,,,,,,,,,,781,25.921,0.000,,,
100,4,746,1096.634,2.263,,,,,,,,,,,746,45.638,0.388,,,
90,0,109363,256051.6,283273.1,3580,101035.7,1387.790,1,16604.23,0.000,,12321,68846.31,23400.63,109363,3438.753,14.460,,,
90,1,7278,173905.7,17979.82,4588,130817.8,1724.894,,,,,7114,34382.72,3903.089,7278,254.070,0.025,,,
90,2,10896,170958.6,18472.61,2314,52416.38,1072.877,,,,,14709,104917.2,40870.81,10896,441.558,4.412,,,
90,3,14660,171512.8,469671.1,2438,60096.27,969.579,,,,,18115,88202.41,38948.39,14660,721.860,55.668,,,
90,4,854,1198.806,1.363,,,,,,,,,,,854,48.122,0.264,,,
80,0,113375,333431.2,264189.0,8543,205013.7,2909.380,2,36090.60,5995703,,15638,39341.53,5316.584,113375,3463.060,56.038,,,
80,1,10202,231029.9,25951.33,7286,168762.6,4901.443,,,,,11159,51764.73,5283.409,10202,372.368,2.821,,,
80,2,13658,230732.9,22742.05,6701,151299.9,3296.713,,,,,16430,64684.83,8119.297,13658,491.451,2.039,,,
80,3,17370,242681.8,65630.56,6463,145848.4,2171.197,,,,,20067,73207.36,12779.87,17370,797.257,8.756,,,
80,4,965,1180.425,1.544,,,,,,,,,,,965,37.149,0.000,,,
70,0,115092,380819.0,2985920,10320,233949.9,7794.611,3,55723.49,3170144,,17665,53181.66,13482.90,115092,3356.013,18.926,,,
70,1,12196,274898.4,20069.85,9479,212026.7,2848.373,,,,,12168,50500.71,23301.70,12196,429.439,0.040,,,
70,2,14957,269499.1,207829.7,8042,173358.6,55585.85,,,,,17687,79920.05,16965.66,14957,567.216,26.867,,,
70,3,28380,340860.9,86860.02,11453,226671.5,8182.242,,,,,26410,83285.82,57525.86,28380,1149.313,0.447,,,
70,4,925,1239.157,1.839,,,,,,,,,,,925,51.954,0.318,,,
60,0,116447,403748.8,2047755,12604,267084.1,4528.009,4,73155.74,2015277,,18359,40181.41,30022.79,116447,3516.260,113.956,,,
60,1,14317,304493.6,19360.97,10899,234100.0,11429.26,,,,,15175,56323.45,10483.96,14317,503.769,1.134,,,
60,2,15929,278820.7,228411.8,9210,191367.7,6497.339,,,,,18703,70534.80,22318.00,15929,538.050,0.269,,,
60,3,19098,270944.0,29329.62,8223,150682.7,721.097,,,,,22255,94735.02,93644.26,19098,819.660,1.086,,,
60,4,519,796.976,6.504,6,119.605,35.206,,,,,11,0.375,0.000,519,19.883,0.000,,,
50,0,134567,560412.3,2358205,21918,442419.1,10971.67,4,57958.33,3146505,,26895,9982.213,4187.129,134567,4268.897,563.653,,,
50,1,25485,387440.3,109944.6,17236,349459.3,37449.07,,,,,20443,17304.06,7144.042,25485,864.136,0.189,,,
50,2,27248,406722.9,30045.34,17753,359260.3,16633.32,,,,,22964,23883.22,3549.216,27248,928.669,0.064,,,
50,3,25094,398824.7,36681.29,16946,348581.8,7479.070,,,,,24197,24299.03,8069.460,25094,961.710,2.899,,,
50,4,688,947.016,2.128,,,,,,,,,,,688,27.069,0.000,,,
40,0,321291,1668241,6853874,39067,1153157,279916.8,4,79322.48,1012281,,145356,244086.1,1084133,321291,10987.85,175.746,,,
40,1,214342,1546895,2927892,39297,1144723,209280.3,,,,,137646,221487.8,763894.6,214342,7608.896,176.406,,,
40,2,221730,1508858,2563240,36947,1101440,122743.1,,,,,145168,216974.0,309086.7,221730,7843.666,25.761,,,
40,3,206240,1589614,5629779,37993,1098539,1129065,,,,,138805,274428.9,416325.1,206240,9513.706,260.484,,,
40,4,2771,3465.944,14.937,,,,,,,,,,,2771,157.353,0.453,,,
30,0,410828,2732546,2309711,73001,2049915,340147.1,5,72316.96,7456810,,216014,329312.0,1177958,410828,14073.19,506.694,,,
30,1,288792,2346008,20236833,58996,1760112,498243.5,,,,,192292,330142.9,2205867,288792,10117.26,553.760,,,
30,2,293394,2557622,26404551,65003,1932198,267698.5,,,,,197851,365817.7,3300906,293394,10512.52,1170187,,,
30,3,298053,2547284,98455.49,67782,1953833,325796.9,,,,,196756,276932.1,568669.8,298053,14224.83,542.564,,,
30,4,896,1233.114,2.716,,,,,,,,,,,896,35.334,0.000,,,
20,0,440813,3215439,6017750,88048,2415591,381325.4,4,65399.22,1164096,,240808,413703.2,1300409,440813,15162.16,753.900,,,
