TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
624,0,0
727,0,0
830,0,0
933,0,0
1037,0,0
1140,0,0
1243,0,0
1346,0,0
1450,0,0
1553,525140,37014144
1656,2376892,163399652
1759,4224864,289716648
1863,6072896,416094476
1966,7922172,542619984
2070,9772188,668998892
2173,11625488,795400680
2276,13475568,921838224
2380,15322920,1048200840
2483,17171700,1174549344
2586,19018680,1300995576
2690,20868016,1427299556
2793,22716484,1553700188
2896,24393832,1668379608
3000,26060576,1782718032
3103,28860772,1842178668
3206,51516372,1842565468
3310,74063572,1842950268
3413,96710500,1843336548
3516,119357428,1843722976
3619,142071564,1844110736
3722,164726080,1844497532
3826,187419620,1844884480
3929,210070884,1845271276
4032,232713476,1845657556
4135,255356068,1846044208
4238,278085380,1846432188
4342,300687860,1846817728
4445,323322868,1847203936
4548,346017492,1847591400
4651,368703444,1847978420
4754,390088596,1848343312
4857,411361012,1848706356
4960,432607412,1849069032
5063,453801780,1849430520
5167,474996148,1849792676
5270,511780608,1930344016
5374,550854536,2014220780
5477,579457552,2082149532
5580,627410096,2164572976
5684,673021868,2259870192
5787,721906244,2353419656
5890,772106740,2448712492
5994,823386220,2544314892
6097,879532248,2635946744
6201,932810408,2724401808
6304,987114424,2814514916
6408,1040421588,2889779944
6511,1081913784,2934383808
6614,1126931416,2984459252
6718,1173243708,3034348628
6821,1184985644,3046656636
6924,1184985644,3046656636
7027,1184985644,3046656636
7131,1211616644,3055273468
7234,1232389416,3086511504
7337,1271646072,3129574064
7441,1321687720,3185813124
7544,1373715352,3242328708
7647,1425466328,3298959420
7751,1478617960,3356263636
7854,1533914200,3418298124
7957,1576601240,3467361720
8061,1627244852,3523842468
8164,1679216860,3580136568
8268,1705271084,3604274508
8371,1735330952,3637083432
8475,1786027524,3692809792
8578,1836697700,3748434040
8681,1887631520,3805074536
8785,1939033468,3862619716
8888,1990253772,3918571904
8992,2038012328,3971486984
9095,2085478980,4023256004
9199,2113363688,4050278716
9302,2154943084,4098031284
9406,2202466728,4138357160
9509,2217030908,4161326824
9612,2217912180,4162020524
9715,2220474280,4163678028
9819,2230939224,4169043896
9922,2230939224,4169043896
10026,2231147352,4169047448
10129,2231147352,4169047448
10233,2231216728,4169048632
10336,2231216728,4169048632
10439,2231216728,4169048632
10543,2231216728,4169048632
10646,2231216728,4169048632
10750,2231216728,4169048632
10853,2231216728,4169048632
10956,2231216728,4169048632
11059,2231216728,4169048632
11163,2231216728,4169048632
11266,2231216728,4169048632
11369,2231216728,4169048632
11472,2231264424,4169049444
11576,2231281768,4169049740
11679,2232096936,4169063652
11783,2234212904,4169099764
