TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1655,0,0
1758,0,0
1861,0,0
1964,0,0
2068,0,0
2171,0,0
2274,0,0
2377,0,0
2480,0,0
2584,0,0
2687,0,0
2790,0,0
2893,0,0
2996,0,0
3099,0,0
3202,0,0
3305,0,0
3409,0,0
3512,952692,66310080
3615,2824264,192772976
3719,43481152,281659512
3822,44855664,281683636
3925,46134784,281705540
4028,47418240,281727296
4132,48693024,281748460
4235,49972144,281770292
4338,50687584,281782500
4442,54834192,294203756
4545,75383268,353497076
4649,95919284,413125600
4752,116686468,472863584
4855,136420472,519714016
4959,157649820,537178628
5062,180124132,573032872
5166,211852816,632757132
5269,243479424,701426268
5372,276491400,748617784
5475,316964568,786785180
5579,372304136,824497292
5682,421119372,868059748
5785,449707372,914205436
5889,463624392,928313652
5992,479294936,947199524
6096,496782264,966012296
6199,516304024,988095460
6302,537973748,1013280860
6406,564896456,1037370404
6509,596610176,1106960764
6613,630757080,1168823148
6716,673869892,1217257252
6820,737721116,1268342556
6923,799715092,1284711180
7026,836556996,1285320720
7130,862379400,1359170204
7233,901044092,1456787120
7336,985405784,1538225644
7439,1003773596,1638161644
7543,1051259416,1703752344
7646,1126080776,1801907088
7750,1232163188,1803717500
