TIME,RECV,XMIT
4,0,0
107,184824,13965960
210,1495460,101715576
313,2740728,188686800
417,4721244,327382252
520,36341604,388855624
624,67496316,431048872
727,99220908,455464044
830,131152776,471199016
933,161816988,506136376
1037,203149284,545561876
1140,250080664,583224376
1243,297986140,622632968
1346,345583948,662624284
1450,395474980,716933028
1553,444182736,749396340
1656,492713136,789917724
1760,541790748,826776112
1863,589820924,863200448
1966,638424952,895514412
2069,686208296,947271776
2172,735821444,988016940
2275,785471068,1021647180
2379,835064996,1061224208
2482,882829824,1099598408
2586,931616028,1143033684
2689,981046536,1175769684
2792,1028462136,1220504884
2895,1076778608,1257951392
2998,1125181956,1307491892
3102,1175245564,1343285708
3205,1224925332,1378798012
3308,1274400876,1418452372
3411,1322283500,1456032560
3514,1370279372,1499725200
3617,1418192316,1539763420
3720,1467344160,1578555004
3824,1516796008,1616535512
3928,1566508724,1664466476
4031,1615681016,1699009652
4134,1665345924,1736999764
4237,1712943512,1767295256
4340,1761120616,1819282748
4443,1809575344,1862093008
4547,1857332728,1895249412
4650,1908354208,1930403752
4753,1957873156,1971166024
4856,2006544844,2017472480
4960,2055751388,2050708564
5063,2103681528,2093440292
5166,2152025228,2129787960
5269,2201767620,2180865656
5372,2251325340,2216757168
5476,2300869180,2252276084
5579,2350703176,2288984372
5682,2398575544,2328579508
5785,2445702844,2371630228
5888,2493875348,2413077552
5991,2544406692,2449413492
6095,2593969056,2486483780
6198,2643738588,2537563676
6301,2693294656,2570303068
6404,2743126084,2609563408
6507,2792488800,2640824020
6611,2839369980,2692394436
6714,2893966248,2740709788
6817,2960698548,2790294952
6921,3025956036,2846683380
7024,3100034812,2895261496
7127,3172902108,2913672680
