TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1757,0,0
1860,0,0
1963,956784,68365872
2067,3080840,217734312
2171,6066512,427233500
2274,7754340,542417904
2378,8264164,578021328
2481,8561764,598872528
2584,57298880,650403340
2688,179228652,791595504
2792,291192868,960007472
2895,419916524,1083121972
3000,549492896,1202203024
3103,678502380,1339873712
3206,804897372,1475477280
3310,931257256,1606518064
3413,1066155216,1725901240
3516,1162689060,1829584996
