RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.27,1.08,0:03.36,13625,772944,302167,18787
90,2.22,1.20,0:03.42,7,527555,393157,283150
80,2.29,1.20,0:03.49,7,528080,439382,283812
70,2.33,1.21,0:03.54,12,528608,488542,284514
60,2.42,1.48,0:03.90,365,537777,564726,497300
50,2.28,1.65,0:03.93,1156,535380,565347,548836
40,2.47,1.46,0:03.93,18,532527,565593,563044
30,2.46,1.43,0:03.89,18,532218,565593,563040
20,2.49,1.43,0:03.93,18,531511,565594,563039
10,2.57,1.37,0:03.94,18,531178,565591,563030
5,2.56,1.37,0:03.94,16,529912,565592,563025
