RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.79,0.09,0:02.14,0,100521,0,0
90,3.95,0.20,0:02.28,1452,102703,54797,43676
80,3.93,0.27,0:02.32,1445,102586,69169,50813
70,3.86,0.31,0:02.31,1076,102588,70687,63128
60,3.89,0.30,0:02.31,586,102267,70807,69328
50,4.06,0.35,0:02.42,1567,156286,100113,74656
40,4.86,1.64,0:03.48,56129,563639,553789,356152
30,4.78,2.10,0:03.70,1804,659520,696089,750211
20,6.80,4.33,0:05.99,359273,666000,707606,764838
10,5.05,2.24,0:03.91,934,669903,709337,777596
5,5.70,2.28,0:04.25,834,673618,709904,777650
