TIME,RECV,XMIT
4,0,0
107,0,0
211,1099300,75664164
314,2095020,145333236
417,3761004,259719812
521,48432244,389275680
624,124792944,490973908
727,223412416,536756668
830,315680724,618360632
934,421995052,692417828
1037,505984324,770640692
1141,608102280,838721216
1244,687659932,914611684
1347,793100652,994793720
1451,869085692,1060459748
1554,971498592,1131826976
1657,1051217760,1209508668
1761,1157240180,1289410540
1864,1234247104,1351790224
1967,1335228108,1425956804
2071,1415587224,1504813764
2174,1520036640,1584483740
2278,1596620804,1646025600
2381,1697463224,1722502184
2484,1777670380,1799945368
2587,1883831380,1880744840
2691,1959623720,1942097700
2794,2060609832,2019237972
2898,2141365868,2094088872
3001,2248567276,2173592016
3105,2324353712,2238585296
3208,2425707196,2318983592
3312,2508916876,2389647116
3415,2615802124,2471212380
3518,2692163808,2532578072
3622,2792280836,2614222836
3725,2886558832,2694696024
3829,2984991356,2775352540
