TIME,RECV,XMIT
3,0,0
106,0,0
209,0,0
313,0,0
416,213528,17273924
520,10467924,204488496
623,17603572,222880320
726,17911936,223832344
829,35990760,275613432
933,36238472,275960972
1036,36607160,276279736
1139,36984392,276286172
1242,50252788,285037836
1346,59370292,286152148
1449,61801312,286872192
1552,67406324,290815696
1655,70741704,291246112
1758,91940696,299221080
1862,96385096,299296932
1965,99710808,299353688
2068,104150872,299429464
2171,111474376,299558372
2274,128571224,299846232
2377,133002616,299921860
2480,137451352,299997784
2584,140786168,300085100
2687,155460384,320164988
2790,166252688,320345252
2893,169760512,320405116
2996,174196240,320480820
3100,178636736,320587004
3203,199744384,320947236
3306,203074432,321007916
3410,207514496,321079844
3513,211954560,321155620
3616,217348544,321252040
3719,236374912,321572388
3822,240806304,321648016
3925,245255040,321723940
4029,248589424,321780844
4132,264923136,322063228
4235,274141472,322216928
4338,276361504,322254816
