TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1345092,95289984
416,2663604,183586868
519,12462528,273299756
623,20741044,275970096
726,24345136,281841812
829,33208088,285064180
932,33208088,285064180
1035,48332056,285322292
1139,56483736,285461412
1242,67733984,318642400
1345,69212560,318667636
1448,78024384,348354368
1551,95628136,364723688
1654,105183852,367872464
1757,119674764,368113336
1861,119674764,368113336
1964,127791756,368258448
2067,136635896,382586848
2170,144983696,392822312
2273,172841816,393553984
2376,172898184,393554948
2479,183135480,393729660
2582,191317512,393869300
2685,199412824,394007456
2788,213031800,415472528
2892,213392072,416416752
2995,225333416,416626688
3098,233577388,421403848
3201,247232376,444784768
3304,255835000,444931584
3407,255835000,444931584
3510,270958968,445189696
3613,278068108,456111920
3716,297179160,476413580
3819,300420544,478994180
3922,300420544,478995660
4025,317088128,479280632
4128,324636020,479414720
4231,335589840,479594392
4335,335589840,479594392
4438,346676116,488530280
4541,361537584,499250404
