RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,690973,583307.4,526673.1,747,16712.14,46.267,,,,
100,1,1199,1494.215,2.042,,,,,,,
100,2,447,577.054,1.035,,,,,,,
100,3,471,600.674,8.773,,,,,,,
100,4,396,514.731,4.707,,,,,,,
90,0,786536,1410365,1942052,32849,453933.1,54861.74,5,185893.8,163373934,
90,1,924,1207.085,3.467,2,23.250,29.291,,,,
90,2,266,456.882,1.490,,,,,,,
90,3,2332,2818.378,31.372,,,,,,,
90,4,1081,1468.045,2.823,,,,,,,
80,0,786491,1424055,4343581,32821,469394.0,16784.29,4,147234.0,264123403,
80,1,196,343.939,23.230,3,44.875,128.341,,,,
80,2,1423,1797.422,1.642,,,,,,,
80,3,2118,2889.125,37.433,,,,,,,
80,4,1907,2251.662,1.118,,,,,,,
70,0,786620,1439581,2669394,32815,471006.7,18207.85,4,116263.7,90841575,
70,1,1818,2513.622,2.524,,,,,,,
70,2,837,1163.589,1.833,,,,,,,
70,3,2507,3254.964,4.878,,,,,,,
70,4,1878,2242.382,2.168,,,,,,,
60,0,996433,2011575,2399606,73864,1087227,368776.1,12,590332.5,1510547325,
60,1,2381,2903.359,8.753,,,,,,,
60,2,1084,1497.125,2.673,,,,,,,
60,3,3279,4330.608,10.181,1,9.088,0.000,,,,
60,4,2087,2783.297,228.165,,,,,,,
50,0,1048907,2075901,2022928,80751,1121601,475537.7,21,849598.9,427121399,
50,1,1787,2202.364,2.015,,,,,,,
50,2,447,740.715,1.785,,,,,,,
50,3,1038,1315.708,1.455,,,,,,,
50,4,720,744.391,1.845,,,,,,,
40,0,1048727,4404572,2929984,522777,3803763,2346618,5,200068.3,264666240,
40,1,1686,2041.209,2.196,,,,,,,
40,2,348,761.485,5.880,,,,,,,
40,3,1487,1807.265,4.593,2,27.612,24.346,,,,
40,4,1067,1303.659,1.701,,,,,,,
30,0,1048707,4254256,1210007,508938,3637163,5280077,6,188132.4,100760596,
30,1,1661,2356.144,23.161,,,,,,,
30,2,1059,1552.977,4.188,1,8.647,0.000,,,,
30,3,2937,3475.383,554.950,,,,,,,
30,4,2320,2897.528,12.812,,,,,,,
20,0,1048652,2139742,518118.8,87120,1139609,715343.0,3,76922.26,36246532,
20,1,4494,4707.724,40.790,,,,,,,
20,2,1591,2145.076,2.722,,,,,,,
20,3,3106,4101.646,15.020,,,,,,,
20,4,2154,2668.282,29.619,,,,,,,
10,0,1048909,2185261,2465025,89436,1173446,381011.5,1,39095.81,0.000,
10,1,1180,1447.488,2.610,,,,,,,
10,2,471,767.286,1.578,,,,,,,
10,3,4270,5563.430,344.085,,,,,,,
10,4,2236,2871.192,10.765,,,,,,,
5,0,1048652,1958630,4061394,75307,935098.7,105583.1,1,10358.38,0.000,
5,1,2089,2704.913,88.385,,,,,,,
5,2,1265,1573.678,1.427,,,,,,,
5,3,2547,3195.248,4.029,,,,,,,
5,4,1730,1924.300,0.926,,,,,,,
