TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1550,0,0
1653,0,0
1756,0,0
1859,0,0
1962,0,0
2065,0,0
2168,0,0
2271,0,0
2374,0,0
2477,11855688,44402472
2580,30030792,135280476
2684,48167740,226006368
2787,66188120,318213840
2890,83992540,407263652
2993,102850396,494873568
3096,121551048,583803536
3199,140381284,671237456
3303,159129448,760235588
3406,177813948,848717232
3509,196861832,936395180
3612,216307260,1022136700
3715,236011732,1108232060
3818,248321176,1162539640
