RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99730,63058.81,661.058,,,,,,,
100,1,1311,1097.959,1.351,,,,,,,
100,2,163,276.252,2.106,,,,,,,
100,3,1360,1784.417,1.941,,,,,,,
100,4,1398,1733.116,1.986,,,,,,,
90,0,122068,259215.3,241573.6,17362,180466.4,17324.57,2,71592.88,81262801,
90,1,26865,264660.7,257553.4,23958,246387.9,9645.968,,,,
90,2,342,526.363,6.558,,,,,,,
90,3,1763,2227.016,2.695,,,,,,,
90,4,982,1147.128,0.820,,,,,,,
80,0,127708,300905.9,298661.4,21366,218058.3,15627.17,3,90132.71,10342974,
80,1,32232,287862.6,14817.20,26166,267334.4,17861.97,,,,
80,2,1289,1600.226,2.222,,,,,,,
80,3,1118,1445.037,1.998,2,17.954,5.937,,,,
80,4,897,1096.042,1.282,2,17.281,2.844,,,,
70,0,130337,321622.6,323228.3,25948,234119.8,5804.491,5,147645.3,4028156,
70,1,53812,312388.0,117304.8,32035,279641.4,6515.456,,,,
70,2,753,942.977,1.387,,,,,,,
70,3,1400,1742.704,1.892,,,,,,,
70,4,1750,2091.333,1.259,1,10.794,0.000,,,,
60,0,130539,339779.8,154106.5,29259,251826.6,16297.91,6,141430.3,55304058,
60,1,42418,313000.4,15508.81,33865,284729.6,568939.2,,,,
60,2,256,428.067,2.952,,,,,,,
60,3,1133,1406.777,2.607,4,43.763,34.230,,,,
60,4,327,404.976,2.934,,,,,,,
50,0,159847,382669.8,3330683,31562,277233.0,6736.906,7,136304.3,27792646,
50,1,98024,413309.0,427513.4,39808,353039.0,11592.03,1,16026.46,0.000,
50,2,298,513.065,6.131,,,,,,,
50,3,1957,2293.398,1.299,,,,,,,
50,4,873,1165.404,3.074,,,,,,,
40,0,648459,1483684,3347478,67610,980429.2,334102.2,5,87533.48,76950436,
40,1,538215,1615920,14827108,87271,1152992,531481.1,,,,
40,2,700,879.599,0.380,,,,,,,
40,3,3059,4209.807,21.298,,,,,,,
40,4,3195,3803.040,7.433,,,,,,,
30,0,746340,2363603,776966.2,116242,1542316,8773082,5,102376.5,12720989,
30,1,597325,2549944,280187.1,125684,1732216,317980.7,,,,
30,2,224,535.237,5.491,,,,,,,
30,3,5129,7061.073,83.650,,,,,,,
30,4,3297,3819.668,9.433,6,81.584,229.931,,,,
20,0,751300,2782860,3372729,140086,1843314,6007383,6,93711.77,6528617,
20,1,630495,2477136,458539.6,117183,1643398,1503132,,,,
20,2,640,917.568,0.714,1,10.595,0.000,,,,
20,3,3732,5072.892,29.915,,,,,,,
20,4,1587,1877.792,1.358,,,,,,,
10,0,752955,2891557,15422045,143217,1864246,602692.9,6,109663.5,7208504,
10,1,630061,2516522,1091618,110811,1568745,239634.0,,,,
10,2,454,835.217,4.733,,,,,,,
10,3,2164,2901.455,24.927,,,,,,,
10,4,475,582.578,0.641,,,,,,,
5,0,766952,2961498,4696946,150138,1865287,1194866,6,85604.80,2507805,
5,1,645176,2745482,7598305,127332,1713915,292763.9,,,,
5,2,490,851.378,3.682,,,,,,,
5,3,5441,6051.678,59.981,,,,,,,
5,4,3551,4590.512,5.017,1,14.507,0.000,,,,
