TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,9904188,78099028
519,10396656,111569548
622,18999280,111716364
725,27656960,115720652
828,36443104,128725708
931,44119060,138710656
1034,45200732,140036532
1137,53949428,150417812
1240,63525260,157095648
1343,72219020,163324140
1446,81908264,169752688
1549,92042564,175766236
1652,100596392,181864776
1756,104851240,186017176
1859,114010620,191762712
1962,127122076,192855068
2065,138060340,209036800
2169,148896004,209223796
2272,163351248,210312360
2375,173346528,228760980
2478,185697856,246756416
