TIME,RECV,XMIT
4,0,0
107,714364,50768328
211,1895008,131949368
314,3067988,213959744
417,4440212,308835256
520,13931464,417733880
623,96486068,475909992
726,186210864,556218264
829,272117504,626321812
932,361348124,706302072
1035,454335760,775849092
1139,547310324,851803164
1242,633373404,920084716
1345,722968336,1000366752
1448,814898764,1068879984
1551,907151524,1144258880
1654,995448244,1214004164
1757,1085324624,1294959080
1861,1176800328,1362944888
1964,1269109608,1437500864
2067,1357537032,1508623864
2170,1447421472,1589476160
2273,1538907984,1657451368
2376,1631846444,1731996704
2479,1719509100,1803211404
2582,1809964936,1881455580
2685,1901889588,1951892388
2788,1993969704,2025814524
2891,2080766092,2096959648
2995,2170641592,2172288828
3098,2261719396,2243469852
3201,2354026036,2317419448
3304,2442076568,2391033588
3407,2533376588,2463496136
3510,2624876132,2537628088
3613,2716528440,2608578800
3716,2804050528,2683984304
3820,2902872868,2767588464
3923,3019318580,2862952420
4026,3136764288,2905442376
