RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.91,0.12,0:01.60,0,100476,0,0
90,4.12,0.50,0:01.87,240,147158,51017,44362
80,4.04,0.68,0:01.94,430,164895,67203,54489
70,4.08,0.55,0:01.94,196,165750,70694,62423
60,4.12,0.45,0:01.92,120,168039,70788,68394
50,4.32,0.53,0:02.01,3979,204449,91208,77277
40,5.29,2.76,0:03.13,3419,1062127,527706,298356
30,4.82,5.60,0:04.17,898,1359882,694398,740270
20,5.04,5.32,0:04.17,2471,1396869,716275,771062
10,4.66,8.69,0:05.46,148732,1484830,751333,894729
5,5.46,4.02,0:04.27,12261,1407554,723317,789257
