TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1187608,84223652
417,2324440,163874156
520,3507712,246621912
623,4711504,330626184
726,6039792,423672500
829,7202540,505185480
933,8459464,593060256
1036,9748632,683802072
1139,10911812,764947992
1243,12215116,856296888
1346,13417668,940862616
1449,14629952,1025396856
1552,15904672,1114939728
1655,17113364,1199543472
1759,18355100,1286512532
1862,19610536,1374622968
1965,20829704,1460179128
2068,22093948,1548470928
2172,23332148,1635485592
2275,24552184,1720897320
2378,25802724,1808689560
2481,27021336,1893658200
2584,28264932,1980742368
2687,29502700,2067578928
2790,76617536,2148134760
2893,157021320,2227895968
2996,242493956,2281556508
3099,344252288,2283292992
3202,445645436,2285033428
3305,546931144,2286761624
3409,648995164,2288503584
3512,751103628,2290246432
3615,851747604,2291963232
3718,951792132,2293671004
3821,1052648580,2295391208
3924,1153675212,2297116296
4027,1254450356,2298836056
4130,1354943660,2300550264
4233,1455704708,2302270764
4336,1556519964,2303990452
4439,1657083728,2305707844
4541,1758365100,2307435596
4645,1859683328,2309165272
4747,1960385844,2310883700
4851,2060982128,2312599908
4954,2160857552,2314304868
5057,2261287984,2316019372
