TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1448,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1963,239504,17689864
2066,1719012,121340952
2170,3433436,241606772
2273,5044380,354474760
2376,6724024,472131984
2479,8413648,590449512
2582,9508320,666599832
2685,102096544,737061672
2788,219447452,817037664
2891,296507020,923141304
2994,373663292,1026366100
3097,448641484,1124876488
3200,550940660,1192277300
3303,667270736,1283483752
3406,761414488,1384633712
3509,838167008,1484958532
3612,914248300,1594924048
3715,1029652360,1679305256
3818,1145915740,1771590240
3921,1257056604,1872618352
4024,1331804328,1973127624
4127,1412404104,2072322408
4230,1510253084,2168381688
4333,1626443308,2260087328
4436,1745517684,2307282560
4539,1866803188,2309353452
4642,1987529356,2311411836
4745,2108600228,2313480136
4848,2229352412,2315540812
4951,2302160356,2316765216
