TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,1431332,100285584
520,3189364,197482588
623,12582216,288090408
726,27902168,292964640
829,31244432,293877240
932,52433372,300844472
1035,55759084,300901232
1138,60199148,300977008
1241,64639212,301052784
1345,67028348,301100808
1448,88932684,318700180
1551,96613400,341455280
1654,111657540,352765468
1757,119018104,353692244
1860,123449496,353767872
1963,140251496,354058176
2066,147882856,354184864
2169,151568456,354254424
2272,155652968,354317472
2375,158987352,354374376
2479,181841308,375150876
2582,189121824,389158820
2685,198876168,399839552
2788,203402952,399916808
2891,207734616,399990736
2995,225771288,400302200
3098,232220008,400408612
3201,236668744,400484536
3304,239998792,400541368
3407,243324504,400598128
3510,265405468,425113040
3613,271567716,438333892
3716,282064032,450887476
3819,288868596,452313768
3922,293234948,452388284
4025,310986532,452694792
4128,317663972,452805200
4232,322069348,452880384
4335,325399396,452937216
4438,328729444,452994048
4541,350318652,477983748
4644,359894284,488291764
4747,365290320,489134592
