TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,11514864,182039472
520,13046272,186373808
623,22098704,214905504
727,22339140,230022624
830,31073220,235734992
933,33073376,256207012
1036,42239580,263038548
1139,42239580,263038548
1242,52759068,271139604
1346,55989388,271194732
1449,65307452,271353760
1552,65307452,271353760
1656,77014652,271553560
1759,84832460,271686980
1862,94185212,271846600
1965,94185212,271846600
2068,106326012,272053800
2171,114727076,272220944
2275,129334652,274396456
2378,129334652,274396456
2481,141155496,282558808
2585,151130592,282889736
2688,164611064,285842824
2791,164611064,285842824
2894,176345980,287999192
2998,186318780,288154592
3101,199326780,288376592
3204,199326780,288376592
3307,212768380,288605992
3411,221006780,288746592
3514,234448380,288975992
3617,234448380,288975992
3721,247022780,289190592
3824,256436236,289351244
