TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,1610760,115142064
934,4335476,306040240
1037,6048908,423700728
1141,6361140,445494576
1244,6901036,483044112
1347,7773188,545875728
1451,10341216,724249276
1554,11232032,785695156
1657,11553628,808197076
1761,12153104,850394692
1864,14285160,1001148868
1967,15957672,1117077196
2071,16428316,1149896116
2174,17016572,1190929540
2277,17816928,1248461476
2381,19970932,1400757772
2484,21229348,1486425796
2587,21673516,1517437612
2690,22342928,1564213804
2794,24023624,1683248092
2897,25838240,1809410884
3000,193792640,1906158544
3103,338997992,2059958264
3207,487750088,2218719160
3310,662098404,2288627120
3413,857464472,2291964520
3517,1050255016,2295265192
3620,1244467708,2298569664
3723,1436721612,2301852008
3826,1628262248,2305133464
3929,1820762216,2308408112
4032,2019351016,2311802492
4135,2218056888,2315190064
4238,2305934600,2316662220
