RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,99414,82110.40,21393.85,,,,,,,6346.097,,,,99414,14239.07,1204.495
100,1,1431,2406.730,244.435,,,,,,,978.089,,,,1431,1077.819,241.837
100,2,104,143.176,0.536,,,,,,,,,,,104,4.112,0.000
100,3,2104,2672.949,276.543,,,,,,,,,,,2104,99.846,4.332
100,4,1230,1742.908,2.306,,,,,,,,,,,1230,43.883,0.000
90,0,122534,131138.7,45506.50,157,1109.075,6.082,3,28274.26,9963900,27841.32,23057,992.619,12.579,122534,38293.88,42602.96
90,1,29702,59118.29,28513.85,25,177.185,7.377,1,13200.70,0.000,26426.22,28564,1111.136,12.703,29702,29172.38,26919.12
90,2,436,800.883,5.610,30,219.205,12.889,,,,,30,1.072,0.000,436,17.807,0.000
90,3,791,1090.819,2.614,,,,,,,,,,,791,30.613,0.000
90,4,799,984.954,1.581,,,,,,,,,,,799,38.418,0.000
80,0,127499,140579.2,51843.58,72,537.960,6.760,4,42311.84,25767622,31561.20,27977,1226.995,85.338,127499,42421.43,48874.27
80,1,33111,63220.21,51058.86,13,102.886,1.471,1,17915.14,0.000,28165.55,32089,1287.020,43.538,33111,31370.16,49656.08
80,2,1014,1372.963,2.078,,,,,,,,,,,1014,36.459,0.000
80,3,874,1162.218,2.053,,,,,,,,,,,874,31.041,0.000
80,4,639,916.728,1.299,,,,,,,,,,,639,26.462,0.000
70,0,129700,148613.5,80435.53,80,559.965,2.437,6,51477.26,17953847,34554.53,30196,1118.784,59.820,129700,45766.18,74018.87
70,1,37312,70975.59,119268.1,2,14.575,3.142,1,8396.506,0.000,30566.83,35945,1318.352,22.343,37312,34126.52,112086.3
70,2,520,773.344,3.302,,,,,,,,,,,520,37.143,0.440
70,3,360,490.356,1.155,,,,,,,,,,,360,13.669,0.000
70,4,743,1002.620,1.843,,,,,,,,,,,743,29.334,0.000
60,0,130309,157945.0,114408.0,99,682.377,3.387,5,25905.23,2550822,37190.77,30809,1247.665,23.149,130309,49047.50,103064.0
60,1,38268,73522.60,18402.93,32,213.557,0.559,,,,32197.47,37265,1299.877,42.411,38268,35833.28,17363.80
60,2,544,902.093,5.808,16,141.962,26.994,,,,,16,0.591,0.000,544,20.777,0.000
60,3,568,621.836,2.456,,,,,,,,,,,568,24.465,0.000
60,4,985,1414.677,1.242,,,,,,,,,,,985,46.427,0.000
50,0,149490,179212.4,798088.2,777,5587.044,4.411,4,28316.13,14690852,40009.54,40495,1586.798,53.264,149490,53543.22,714099.2
50,1,53951,93274.36,40986.29,537,3779.577,5.231,1,11968.75,0.000,36804.04,45880,1613.740,258.888,53951,41654.84,38714.96
50,2,944,1617.112,4.993,33,239.208,13.407,,,,,33,1.059,0.000,944,32.850,0.000
50,3,1186,1579.979,2.089,,,,,,,,,,,1186,43.276,0.000
50,4,360,526.927,2.700,8,55.011,2.188,,,,,9,0.372,0.000,360,13.760,0.000
40,0,646370,810753.1,11643297,4713,32803.80,162.149,5,26516.50,458105.1,235484.0,305821,11124.09,602.776,646370,297676.7,10622000
40,1,546331,723059.2,2327973,4765,33148.29,98.499,1,17177.07,0.000,234128.0,305536,11496.36,5031.866,546331,287875.4,2132877
40,2,602,1746.214,14.643,,,,,,,,,,,602,34.730,0.027
40,3,709,1040.586,3.786,,,,,,,,,,,709,27.888,0.000
40,4,3247,4177.585,41.355,31,225.441,15.526,,,,,31,1.075,0.000,3247,185.127,1.672
30,0,745560,1101426,2932207949,149,1069.482,2.337,5,26512.06,2191281,392464.8,367502,13253.80,712.702,745560,465049.1,2789148016
30,1,618168,960994.3,3679038,112,857.339,5.164,1,6918.476,0.000,374064.2,344455,12431.30,5116.480,618168,434361.3,3544347
30,2,88,187.381,4.566,,,,,,,,,,,88,3.350,0.000
30,3,3879,5640.794,12.764,,,,,,,,,,,3879,156.755,0.417
30,4,2257,3146.492,7.202,,,,,,,,,,,2257,87.032,0.001
20,0,752164,1220522,212467.6,128,912.086,7.032,4,19955.26,88651.53,451200.1,374006,13193.83,826.527,752164,527235.3,26876.67
20,1,629886,1072390,3874382,32,277.074,7.704,,,,426527.4,350281,12564.81,934.088,629886,488542.1,3719544
20,2,792,2037.170,12.204,16,104.617,2.049,,,,,16,0.567,0.000,792,59.311,0.203
20,3,698,937.904,2.170,,,,,,,,,,,698,29.022,0.000
20,4,593,815.865,2.535,,,,,,,,,,,593,38.520,0.399
10,0,753045,1210707,303353.1,97,711.418,4.591,5,34821.12,5671294,450030.3,374960,13631.75,832.794,753045,523721.6,4688.946
10,1,630077,1077186,3850740,2,16.143,4.132,1,10448.19,0.000,432125.5,350279,12360.45,1722.325,630077,493863.3,3687148
10,2,1950,4790.896,11.438,,,,,,,,,,,1950,102.050,0.024
10,3,2539,3393.910,3.779,,,,,,,,,,,2539,94.010,0.000
10,4,1788,2613.866,3.232,,,,,,,,,,,1788,84.982,0.130
5,0,756476,1287148,488791.2,967,6761.387,5.410,7,32222.96,547675.8,485128.7,376794,13476.03,430.793,756476,558268.2,135056.5
5,1,633321,1159950,21126965,846,5647.360,4.473,1,6217.521,0.000,459622.2,352882,13344.06,3039.893,633321,521986.7,20295844
5,2,,,,,,,,,,,,,,,,
5,3,3096,4639.396,22.603,,,,,,,,,,,3096,131.625,0.706
5,4,2857,3814.158,3.887,,,,,,,,,,,2857,104.674,0.000
