TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,7144204,158839444
520,11138496,159102488
623,20048976,159254556
726,28705244,168930704
830,37898012,188861004
933,47019848,213237268
1036,56381148,232219344
1139,65277748,236562116
1242,74693092,238981132
1346,86003520,246613620
1449,98235376,246822372
1553,108381616,246995532
1656,123991404,247274964
1759,133202804,247553772
1862,155512348,249515348
1965,168309544,258046140
2069,186811116,266560084
2172,203452408,278966528
2276,210381336,279084780
