TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
624,0,0
727,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1346,0,0
1449,0,0
1552,1950892,137244336
1655,4380240,308215488
1759,6227156,436137600
1862,6729172,471032952
1966,7020572,491632200
2069,8482096,596961168
2173,10928308,765903672
2276,11405148,798931104
2379,11971272,838596168
2483,12547624,879820728
2587,14648308,1028824272
2690,39515836,1145372624
2793,179651572,1208186120
2896,305658336,1346774660
2999,428397388,1501363768
3102,563278616,1607917676
3205,692250112,1761363560
3308,823717256,1892413584
3412,957740320,2003161084
3515,1085379956,2165228212
3618,1218615596,2288508788
3721,1359487448,2300596940
3824,1470016424,2302491860
3927,1609069776,2304867036
4030,1748447248,2307243844
4133,1888585680,2309636264
4237,2027602176,2312009220
4340,2166913520,2314386768
4443,2305990720,2316741372
4546,2305990720,2316741372
