TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,1284640,91367352
418,3495612,241283384
521,21680488,281412328
624,33270172,285525384
728,47340492,285767808
831,67032632,288182176
934,68431380,325954800
1038,86659376,326837256
1141,103834272,327127704
1244,114422784,327311668
1348,128512404,339836980
1451,142206236,372923116
1554,156410972,373165984
1658,177223772,373520740
1761,177371196,373528804
1864,198740228,391591852
1968,213731952,392301644
2071,227190896,392531340
2174,248486268,401892012
2277,249789988,415079056
2381,269496248,415964656
2484,284863588,416263936
2587,297529044,416484232
