TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,0,0
2273,1952876,137778648
2376,4430520,309788016
2481,7671260,538595184
2584,85025072,618629216
2687,222405116,678452240
2790,341212184,721822912
2893,409246760,795908956
2996,473077940,961139756
3100,539003284,1073591192
3203,639570384,1084104524
3306,764581916,1108117956
3410,882755920,1229813648
3513,986767144,1381033588
3616,1098606444,1546928196
3720,1221122424,1685869624
3823,1345950628,1811253872
3926,1484702208,1930949184
4030,1605178688,2062432380
4133,1720634676,2213185768
4236,1839717288,2308793596
4339,1991238808,2311378120
4442,2133949576,2313812868
4545,2276567120,2316247836
4649,2295175064,2316546944
