RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.36,0.75,0:03.11,1214,691462,178491,5125
90,2.13,2.57,0:04.70,174415,874377,565563,560388
80,2.18,2.47,0:04.66,168240,880555,565608,563048
70,2.22,2.62,0:04.85,196300,852498,565613,563052
60,2.18,2.30,0:04.49,134460,914339,565616,563053
50,2.35,2.26,0:04.62,148032,900776,565615,563056
40,2.32,2.23,0:04.55,133263,915550,565623,563064
30,2.45,2.09,0:04.55,131792,917018,565621,563061
20,2.41,2.15,0:04.57,136360,912452,565619,563056
10,2.43,2.20,0:04.63,145454,903361,565611,563046
5,2.41,3.95,0:06.36,446460,602355,565620,563065
