TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,1728496,123013392
520,11865832,258637108
623,26942228,300973852
727,31780108,302498276
830,52232060,302863124
933,56209256,302923880
1036,60653656,302999728
1140,64074760,303065736
1243,67309416,303113320
1346,89406688,357017272
1449,93906252,369159200
1552,97627988,371146124
1656,103178068,371240844
1759,106516788,371297824
1862,127611428,371657832
1965,132060164,371733756
2068,136478548,371809164
2171,139808596,371865996
2274,149261076,372032052
2378,165338964,372301708
2481,169268424,395221328
2584,173392472,401098224
2687,179171912,404810188
2790,189231432,404985420
2893,203557576,405226364
2996,206896296,405283344
3100,211336360,405359120
3203,215767752,405434748
3306,235852104,405784100
3409,240222792,405852108
3512,244636840,405927440
3615,247995324,406458136
3719,251379520,407271564
3822,274047168,414576728
3925,278465552,414652132
4028,281721888,414707708
4132,286187968,414783928
4235,294386256,414927412
4338,311156320,433550292
4442,315875020,434932196
4545,330040732,435167664
