TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1862,0,0
1965,0,0
2068,0,0
2171,0,0
2275,0,0
2378,0,0
2481,0,0
2584,0,0
2687,0,0
2790,0,0
2894,0,0
2997,0,0
3100,0,0
3203,0,0
3306,0,0
3410,0,0
3513,0,0
3616,0,0
3719,0,0
3823,0,0
3926,0,0
4029,0,0
4133,0,0
4236,0,0
4339,0,0
4442,0,0
4546,0,0
4649,0,0
4752,0,0
4856,0,0
4959,0,0
5062,0,0
5165,0,0
5269,0,0
5372,0,0
5475,0,0
5578,0,0
5682,0,0
5785,0,0
5888,295860,6454320
5991,2228356,6695760
6094,2232692,6695836
6198,2237028,6695908
6301,2241364,6695984
6404,2241364,6695984
