TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,911608,62482672
1345,3058108,213273764
1448,6035348,418918724
1551,8093316,563109116
1655,9000252,627165740
1758,9283156,646474820
1861,10770784,750946936
1965,11137516,776799164
2068,12216376,852428204
2171,14303856,998156372
2274,14779828,1031062172
2378,16439260,1147051316
2481,17710260,1236620252
2584,18439504,1288704812
2688,19822288,1384177244
2791,74450568,1460618088
2894,204532572,1599720088
2998,338398584,1730394904
3101,474257332,1850926228
3204,595433264,2010794476
3308,733060736,2120050476
3411,868933808,2289402404
3514,1037960856,2295016316
3617,1217018144,2298076364
3720,1406980472,2301316972
3823,1578098604,2304240984
3926,1754990060,2307256708
4029,1923851244,2310137600
4132,2080033964,2312802192
4235,2249103276,2315696480
4339,2267102012,2315976424
