TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,1775020,88804436
416,2883644,166453436
519,5555172,338899372
623,37027132,375061932
726,57006704,392397816
829,82049452,424706180
933,111038620,441647604
1036,144079760,476781236
1139,189818184,516306820
1243,229305932,556920664
1346,271202492,582632192
1449,315892764,601438976
1553,364750260,649952360
1656,409736480,695688540
1759,452298172,728049440
1863,497077192,756843008
1966,549278280,808491640
2070,595246884,852396220
2173,640177564,875633240
2276,685895920,900312680
2379,733908096,949972792
2483,777874348,994264924
2586,822704076,1024223272
2689,866634876,1057484232
2793,921567232,1101217968
2896,966029912,1156914232
3000,1011185308,1169983968
3103,1056934288,1196648100
3206,1104366912,1245126376
3309,1148090256,1287468844
3413,1192964944,1320499956
3516,1238840928,1353681272
3620,1294863708,1400556844
3723,1339109020,1450197104
3826,1384095432,1463637612
3930,1427701500,1495633780
4033,1474731548,1537633208
4136,1518057136,1583756684
4240,1563194852,1613269032
4343,1609308348,1653582848
4446,1665968588,1696279904
4550,1709355080,1742273432
4653,1754515496,1755568540
4756,1799460836,1801738328
4860,1847445984,1830446016
4963,1890704104,1884330076
5067,1935722368,1908171876
5170,1982513816,1946685712
5273,2037260232,1989166580
5377,2080038204,2038108824
5480,2125716484,2048869596
5584,2170237148,2094868592
5687,2217258052,2130302036
5790,2260104940,2180159904
5894,2304750548,2202885200
5997,2351326620,2243609372
6100,2404971696,2290584636
6203,2448358904,2330402920
6307,2493641952,2342840948
6410,2538717596,2391973712
6513,2586684560,2427536604
6617,2630106440,2475466816
6720,2674578628,2500084280
6823,2725504044,2544965332
6927,2779851492,2590096660
7030,2824330064,2624396548
7133,2869190868,2638569416
7237,2930692860,2710262276
