TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1344,0,0
1447,0,0
1550,0,0
1653,0,0
1757,0,0
1860,0,0
1963,0,0
2066,0,0
2169,0,0
2272,0,0
2375,0,0
2479,0,0
2582,0,0
2685,0,0
2788,0,0
2891,0,0
2994,0,0
3097,0,0
3200,0,0
3304,0,0
3407,0,0
3510,0,0
3613,0,0
3716,0,0
3819,0,0
3923,0,0
4026,0,0
4129,0,0
4232,0,0
4335,0,0
4438,0,0
4541,0,0
4644,0,0
4748,0,0
4851,0,0
4954,0,0
5057,117724,7033232
5160,1334676,84399708
5263,3487748,234747712
5366,4523644,307744288
5470,5637104,385119616
5573,6466848,443267316
5676,8003192,544684904
5779,9144948,560690708
5883,10371680,571317476
5986,12216688,579096772
6089,38405884,579843608
6193,65002908,580283908
6296,65002908,580283908
6399,65002908,580283908
6502,67058024,726376972
6606,83298740,826010700
6709,112926628,826512568
