TIME,RECV,XMIT
4,0,0
107,0,0
210,1186144,80121476
313,2220244,152796596
417,4436296,306743832
520,38932776,367799144
623,71270084,385566356
726,101493128,428992000
829,133916956,431469912
932,165224232,483266092
1035,207777476,512647772
1138,256252752,552450876
1241,303477464,593743120
1344,351804104,650898080
1447,401293892,684082472
1551,449515772,721059400
1654,498557924,755628912
1757,548551688,802882116
1860,597367692,843622152
1963,645941068,873681852
2066,694974152,915031620
2169,745106496,958988352
2272,793597700,1010044592
2376,844593616,1037050732
2479,893962816,1070964792
2582,943849280,1117129640
2685,992007492,1160044112
2788,1041061172,1198255644
2892,1089885152,1238332712
2995,1139266944,1284901804
3098,1188027236,1320862700
3201,1236872584,1358799112
3304,1286739252,1397786324
3407,1334555712,1434679200
3510,1384052256,1472352076
3613,1431602316,1516621136
3716,1482096988,1557905324
3820,1531129216,1594667736
3923,1580865096,1631481464
4026,1630207596,1676845756
4129,1679020372,1713825808
4232,1726617480,1750202212
4335,1774989868,1790625712
4438,1824924956,1832284212
4541,1873085432,1882346416
4644,1922845528,1909343700
4747,1971971408,1952553680
4851,2021884516,1989407464
4954,2069750020,2030040448
5057,2119017308,2068143084
5160,2167647768,2110216736
5263,2217333640,2159156300
5366,2266872928,2192534364
5469,2316522792,2230926444
5572,2365157500,2271767280
5676,2413687896,2311910524
5779,2462098648,2345118892
5882,2510635780,2389134092
5985,2560116104,2432294452
6088,2610120584,2465464644
6191,2659759456,2507387728
6294,2710589172,2547299160
6397,2758547192,2586646216
6500,2807942732,2625313900
6604,2856463808,2670136392
6707,2917499076,2721949260
6810,2982810724,2776447864
6913,3052962904,2827351504
7016,3134737352,2882429152
