TIME,RECV,XMIT
5,0,0
108,872836,61432848
211,2057088,139339476
314,3166144,217201332
418,4886564,336809324
521,45764248,446754884
625,95907528,493195328
728,147077640,540188212
831,211104032,590607828
934,281282136,653126676
1038,351338320,715044068
1141,428173748,774403836
1244,499201636,831310980
1347,572393536,887473424
1450,642369632,949516460
1554,709196152,1008685312
1657,786569984,1067677356
1760,858898484,1125753148
1863,932168884,1181724532
1966,1003158448,1241044792
2069,1071132348,1301475744
2173,1148294844,1361835776
2276,1219142336,1417806508
2379,1290428080,1475259212
2482,1361714636,1535833632
2585,1428359356,1595956368
2689,1502635076,1657156512
2792,1574184840,1714570348
2895,1646856504,1771297888
2998,1720656440,1827789024
3101,1787651264,1887708480
3205,1860887836,1949760400
3308,1934602872,2006692932
3411,2006806836,2063988040
3514,2080615372,2121917080
3618,2147273080,2180378460
3721,2218246440,2238208532
3824,2292101076,2297389880
3927,2364820876,2355339788
4031,2439808992,2412581284
4134,2504705656,2470642304
4237,2571478472,2531688200
4340,2648334428,2588905564
4443,2723321892,2646220160
4547,2799352140,2702623648
4650,2867507896,2762312632
4754,2937792308,2826898868
4857,3045462440,2908296336
4960,3138783352,2973262436
5063,3215249144,2974597316
