RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.32,0.78,0:03.11,1083,685504,172037,4872
90,2.16,2.78,0:04.95,215680,833116,565610,563048
80,2.20,2.29,0:04.50,134451,914347,565614,563049
70,2.24,2.43,0:04.68,163337,885464,565618,563061
60,2.31,2.19,0:04.52,134264,914536,565614,563052
50,2.24,2.30,0:04.55,134731,914077,565621,563073
40,3.09,3.17,0:06.27,292355,756455,565618,563062
30,2.40,2.38,0:04.78,174361,874449,565617,563055
20,2.49,2.09,0:04.58,139839,908972,565620,563060
10,2.53,2.09,0:04.63,141326,907492,565620,563066
5,2.55,2.04,0:04.59,135205,913610,565609,563055
