TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,0,0
1345,1967076,138604008
1449,4584156,324131904
1553,7947968,558125808
1656,8368636,585988224
1759,9131732,639454176
1863,9258708,648350688
1966,9258708,648350688
2070,10783476,757715248
2173,12614708,883143888
2277,14972568,1049071656
2381,16531868,1155812424
2484,16843912,1177397760
2587,17800696,1244755824
2691,18205060,1272765936
2794,19169904,1341445672
2899,152031252,1492619452
3003,304070308,1640310072
3108,466379168,1773106892
3211,613641756,1930591144
3314,759804536,2095314528
3418,903508616,2259412240
3521,1103320736,2296268232
3625,1315169024,2299886684
3728,1525203780,2303479976
3832,1734310632,2307039892
3935,1943305832,2310604620
4039,2153201124,2314237148
4143,2306112332,2316797328
