RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,104955,88167.01,2478.698,,,,,,,6193.862,,,,104955,14497.81,114.897
100,1,3613,4828.505,688.844,,,,,,,,,,,3613,223.744,23.927
100,2,1249,1785.451,2.228,,,,,,,,,,,1249,58.209,0.177
100,3,1724,2338.795,2.204,,,,,,,,,,,1724,63.908,0.000
100,4,1291,1740.112,2.930,,,,,,,,,,,1291,44.041,0.000
90,0,145282,184580.9,148232.3,7151,47838.18,119.497,1,6600.376,0.000,20131.87,37760,1229.655,9.451,145282,31912.75,90573.70
90,1,1184,1604.200,2.606,,,,,,,,,,,1184,42.634,0.000
90,2,785,1015.146,1.799,,,,,,,,,,,785,27.611,0.000
90,3,892,990.823,1.267,,,,,,,,,,,892,31.691,0.000
90,4,2836,3497.943,13.385,,,,,,,,,,,2836,113.510,0.001
80,0,179474,231871.1,169046.2,5970,40466.70,114.767,3,22806.49,123237.7,43083.30,72043,2263.956,45.551,179474,58278.48,140872.9
80,1,1266,1720.402,2.633,,,,,,,,,,,1266,45.455,0.000
80,2,1519,2290.582,3.242,,,,,,,,,,,1519,56.325,0.003
80,3,1665,2327.041,2.583,,,,,,,,,,,1665,62.403,0.000
80,4,1189,1580.892,1.738,,,,,,,,,,,1189,42.489,0.000
70,0,180068,233555.1,362726.5,4367,28692.57,30.637,5,37880.88,2835062,53392.11,72498,2261.463,13.574,180068,68545.85,324593.7
70,1,1888,2593.439,1.863,,,,,,,,,,,1888,84.037,0.147
70,2,1303,1977.908,3.063,,,,,,,,,,,1303,49.734,0.004
70,3,1190,1722.059,3.292,,,,,,,,,,,1190,57.483,0.193
70,4,1489,2095.314,2.506,,,,,,,,,,,1489,53.231,0.000
60,0,180562,239005.1,175942.4,3474,22583.62,53.072,5,26643.52,2794137,57878.12,72957,2448.010,192.569,180562,73454.47,155529.4
60,1,1336,1745.493,1.942,,,,,,,,,,,1336,50.171,0.000
60,2,874,1317.464,3.176,,,,,,,,,,,874,32.686,0.002
60,3,627,857.611,2.343,,,,,,,,,,,627,22.823,0.000
60,4,597,813.505,2.423,,,,,,,,,,,597,21.349,0.000
50,0,184632,248934.9,161671.1,3669,23708.85,72.081,3,16594.08,5013869,57445.96,75061,2347.366,42.015,184632,73408.19,144886.2
50,1,1337,1772.056,2.280,,,,,,,,,,,1337,47.589,0.000
50,2,708,886.284,0.992,,,,,,,,,,,708,25.808,0.000
50,3,622,951.925,2.783,16,103.896,1.750,,,,,16,0.657,0.000,622,23.706,0.000
50,4,365,455.181,0.447,,,,,,,,,,,365,13.394,0.000
40,0,589310,743891.7,1638776,24623,166128.3,3281.722,4,21760.24,177504.1,138368.9,298678,9802.650,749.302,589310,191727.1,1304026
40,1,1691,2283.856,1.912,,,,,,,,,,,1691,61.521,0.000
40,2,1417,2536.336,6.298,,,,,,,,,,,1417,55.574,0.006
40,3,1112,1590.908,2.829,,,,,,,,,,,1112,39.667,0.000
40,4,711,897.835,1.144,,,,,,,,,,,711,25.434,0.000
30,0,1306406,1577084,250920.7,17631,114725.3,1255.741,5,20861.17,34470.90,482162.5,678446,22108.48,6744.625,1306406,601488.8,3901227
30,1,694,1120.481,3.968,16,102.957,1.956,,,,,16,0.505,0.000,694,26.718,0.000
30,2,258,414.264,5.251,,,,,,,,,,,258,10.812,0.006
30,3,3189,4744.452,15.454,,,,,,,,,,,3189,111.131,0.001
30,4,2251,3231.166,17.118,,,,,,,,,,,2251,85.220,0.001
20,0,1342648,1737407,3306363,32614,212842.0,3077.176,3,17524.60,226876.6,500575.0,703720,23302.96,3591.026,1342648,623205.7,268538.2
20,1,1116,1534.901,2.195,,,,,,,,,,,1116,57.654,0.244
20,2,1358,2332.482,5.319,,,,,,,,,,,1358,55.512,0.007
20,3,1657,2122.959,2.228,,,,,,,,,,,1657,62.298,0.000
20,4,752,1200.636,60.175,,,,,,,,,,,752,27.698,0.000
10,0,2664258,3223555,2349237,45019,289759.1,2872.780,5,24198.29,1533005,939752.5,1508002,50658.43,9631.075,2664258,1184296,5724044
10,1,1839,2487.761,2.171,,,,,,,,,,,1839,82.702,0.131
10,2,1163,2585.635,14.884,,,,,,,,,,,1163,68.256,0.092
10,3,993,1500.119,4.262,,,,,,,,,,,993,55.810,0.325
10,4,190,232.823,0.401,,,,,,,,,,,190,7.866,0.000
5,0,2665650,3401726,5068949,36701,227474.3,2449.281,6,24722.23,97480.42,1115175,1509218,50390.43,89728.83,2665650,1361454,1305117
5,1,2393,3293.849,8.619,,,,,,,,,,,2393,87.475,0.000
5,2,3301,6982.447,45.836,,,,,,,,,,,3301,186.581,1.021
5,3,1495,2220.659,2.943,16,105.843,1.860,,,,,16,0.522,0.000,1495,54.670,0.000
5,4,2086,2886.614,174.500,,,,,,,,,,,2086,76.290,0.018
