TIME,RECV,XMIT
4,0,0
107,0,0
210,981460,69821112
314,2522072,146582648
417,3600872,222302912
521,5682132,343712928
624,60005004,461655664
727,127636864,520750396
831,183783984,582979768
934,237851424,645810084
1038,292853256,705583748
1141,390874160,772528552
1244,453917224,828363184
1348,510202964,895280472
1451,565960396,957806120
1555,624035584,1023301392
1658,711469528,1085116296
1761,766410144,1147283156
1865,822698232,1211064540
1968,877991244,1271003248
2072,952879212,1341252824
2175,1040552936,1394928108
2279,1093997444,1457539924
2382,1150377168,1521188272
2486,1207048600,1586166572
2589,1281151648,1648823532
2692,1350843348,1709753120
2796,1406065984,1773576988
2899,1461054736,1833412728
3002,1516657552,1899989752
3106,1613216764,1964272988
3209,1677425388,2018950476
3312,1733816500,2083518568
3416,1790411640,2148152928
3519,1847107572,2211970400
3623,1933365928,2274971560
3726,1990791548,2337277308
3830,2047440140,2399374056
3933,2101852376,2462112876
4036,2170665136,2530773152
4140,2263102376,2582091520
4243,2318307776,2649304260
4346,2374689384,2712074844
4450,2430810408,2776083360
4553,2502071148,2838586480
4657,2575153560,2900997012
4760,2630559740,2965115312
4864,2686025300,3025475036
4967,2741566388,3092376308
5071,2836107820,3157445256
5174,2902653084,3213678964
5277,2959146568,3277646592
5381,3015268964,3342125068
5484,3071681476,3403204748
5588,3158509120,3468940644
5691,3215473872,3530359824
5794,3270437596,3590168780
5898,3326553672,3657140760
6001,3393632124,3722314208
6104,3486755784,3775530252
6208,3540661144,3839334096
6311,3597122956,3904372524
6414,3653242936,3967107872
6518,3720913660,4029678884
6621,3795840220,4090716748
6725,3850378960,4151128824
6828,3906404724,4217695288
6931,3963015728,4280175588
7035,4050653200,4345796052
7138,4123597464,4402261696
7242,4179248192,4466144260
7345,4235406400,4529939764
7448,4289140452,4589790812
7552,4374461820,4655868092
7655,4434798456,4715328164
7759,4490170464,4780015728
7862,4546774360,4844227832
7966,4608876148,4909810404
8069,4706237116,4966959304
8172,4762739144,5028154432
8276,4818648212,5092909664
8379,4873608060,5152447936
8482,4927712272,5207565528
8586,4985614888,5225843784
8689,5045281496,5226861432
