TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1346,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1861,0,0
1965,0,0
2068,0,0
2171,0,0
2274,0,0
2378,0,0
2481,0,0
2584,0,0
2688,0,0
2791,0,0
2894,0,0
2997,0,0
3101,0,0
3204,0,0
3307,0,0
3411,0,0
3514,1745488,121840512
3617,5351688,298445160
3720,51840420,348059076
3824,53084852,348081056
3927,54359636,348102072
4030,55647428,348124048
4133,56878852,348145804
4236,58157972,348166896
4340,58673956,348175700
4443,60293004,433444820
4546,70687072,544898952
4650,93002148,585603012
4753,115511648,625116080
4857,138320996,625797108
4960,162393132,689594132
5063,190194580,795214564
5166,221844636,825455904
5270,253429796,854576864
5373,286030652,875562416
5477,326459468,912889348
5580,382874492,945219128
5683,436593452,984569044
5787,447102220,1013169856
5890,460475160,1032542132
5993,475605908,1058480472
6097,493096200,1085770656
6200,512836328,1108825568
6303,538921412,1172587572
6407,569475772,1266500224
6510,604115912,1296621532
6613,645767408,1330384940
6717,703244596,1363076248
6820,755937136,1399610512
6923,811888880,1400548016
7026,835529156,1474004056
7130,848730084,1602957544
7233,923943248,1659455000
7336,966221996,1736532832
7440,988302604,1827924500
7543,1049714276,1948573732
7646,1128774248,1949928452
