TIME,RECV,XMIT
4,0,0
106,0,0
210,0,0
313,966520,67340688
416,2777808,188869188
520,16980348,236405620
623,24160760,240710400
726,32901580,250361888
829,32901580,250361888
932,43303368,262182792
1035,50092848,270639992
1138,57500520,278932540
1242,67749920,285969368
1345,85576732,307204268
1448,106915016,332027112
1551,130605560,356494988
1654,157435964,387566040
1758,177263808,397015192
1861,185415488,397154312
1964,195475008,397325992
2067,195475008,397325992
2170,209015760,400822968
2274,217249776,406678792
2377,239859480,421231280
2480,259371104,435040380
2583,260464768,435128532
2686,273958400,435358820
2789,282110080,435497940
2893,295434608,435725344
2996,295434608,435725344
3099,305730376,440504548
3202,315304920,447898924
3305,323471356,449071916
3409,342047532,450049072
3512,342450780,450055956
3615,354318412,450258492
3718,362491772,450397984
3822,376111148,450636336
3925,377446636,450653208
4028,383564732,450763248
4131,395284296,453915168
4234,403800264,454073804
4337,418076592,458047752
4441,418076592,458047752
4544,427407664,458207000
4647,440311600,458427224
