TIME,RECV,XMIT
4,0,0
107,57288,4873968
210,1246492,85270852
314,2376072,163012160
417,3838448,262759384
520,28967748,374308164
623,80397264,427467036
727,131999344,466034892
830,187644892,516756340
933,240701524,562072308
1037,292915276,601430772
1140,343363368,648145716
1244,402457632,699805740
1347,458068412,741284368
1450,514536108,786060620
1553,571922688,832409420
1657,624897660,868596556
1760,676144340,915931412
1863,732941036,967997000
1966,789670460,1010081588
2070,844754524,1051954420
2173,901290636,1101616788
2277,955586764,1143543252
2380,1007038112,1182246440
2483,1059845064,1228922108
2587,1118043232,1281135416
2690,1174222296,1321598044
2793,1230658468,1367443876
2896,1287588248,1411734220
3000,1340080352,1449090100
3103,1391380340,1495450612
3206,1447940256,1546213516
3309,1505306552,1591552532
3413,1559573540,1631684576
3516,1617187100,1682006352
3620,1672168452,1725058080
3723,1724203896,1763756232
3827,1776414788,1809723268
3930,1835124388,1862589628
4033,1890956336,1903961112
4136,1947680204,1949061708
4240,2004166960,1994088308
4343,2058396440,2031115460
4446,2109519072,2079193632
4550,2167246736,2132816276
4653,2223617620,2173082676
4756,2278608372,2216442620
4859,2337584288,2266498488
4963,2390045360,2306576160
5066,2442986748,2346203416
5169,2494311536,2393183436
5273,2552248948,2445295480
5376,2608250560,2486560680
5479,2664253644,2530562252
5583,2720301656,2575365420
5686,2773581908,2612511296
5789,2825306596,2659654388
5893,2888119228,2715898144
5996,2965206768,2777375332
6099,3040503352,2839252356
6202,3144758564,2904969352
