TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,448632,31798080
623,1746168,121232352
726,3041408,210955508
829,4257600,294588360
933,5399020,373518840
1036,6550856,453604824
1139,7711064,533974264
1243,8863952,613557428
1346,10014984,693324120
1449,11204404,772411872
1553,12347560,851351040
1656,13478008,929913376
1759,14599772,1007645996
1862,15749376,1086962008
1966,16885092,1165904424
2069,18028124,1244917440
2172,19175744,1324820976
2275,20308608,1403308368
2378,21446992,1482090068
2482,22590148,1561217112
2585,23750292,1641980760
2688,24895864,1721190352
2791,26022220,1799094552
2895,37887944,1875029140
2998,105603396,1943399440
3101,173234776,2009778564
3204,241085896,2076583844
3307,308564004,2143501528
3410,376353968,2211049632
3513,444231324,2278403492
3616,538967100,2286493492
3719,637431160,2288172700
3822,735718524,2289850132
3924,833966860,2291526676
4027,932156668,2293203220
4130,1030520996,2294880948
4233,1128607820,2296555124
4336,1229692988,2298281692
4439,1331120700,2300011812
4542,1432701256,2301745188
4644,1534186420,2303477008
4747,1635344216,2305203652
4850,1736680872,2306933180
4953,1838386088,2308669220
5056,1939825724,2310399636
5159,2054903164,2312367444
5262,2177819004,2314466676
5364,2300979836,2316566424
