TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,744308,51763104
416,1981952,137357280
520,3101736,215044296
623,4221888,292577088
726,5338448,370088180
830,6463624,447831648
933,7571936,524713940
1037,8673860,601447440
1140,9776036,677718308
1243,10884780,754600584
1347,12001712,832283256
1450,13105868,908753948
1554,14220928,985355184
1657,15335564,1062816296
1760,16449392,1139777860
1864,17569548,1217145584
1967,18697636,1295339764
2070,19797268,1371566096
2174,20901800,1448411456
2277,22028712,1526479660
2380,23145456,1603774616
2484,24265672,1681906896
2587,25376216,1758625184
2690,26495004,1836265496
2793,27602820,1913401904
2897,28703632,1989669512
3000,29815476,2066544196
3103,120285812,2155261500
3207,216966944,2250872612
3310,333355356,2282986160
3413,459410524,2285143236
3516,585358316,2287291012
3619,711429688,2289443376
3722,837283172,2291592336
3825,963149660,2293740408
3928,1089351112,2295892476
4031,1215244700,2298041880
4134,1341222844,2300191656
4237,1467063324,2302340688
4340,1593308132,2304493940
4443,1719118252,2306641052
4546,1845018348,2308789640
4649,1970994328,2310944448
4752,2097177348,2313092964
4855,2223056844,2315244808
4958,2305827836,2316636156
