TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1035,0,0
1138,0,0
1241,283960,20781696
1344,1723600,121733008
1447,3468468,244050264
1550,4951940,347991348
1653,5994720,420685992
1757,7329704,513552024
1860,8210724,576273956
1963,9993160,701166136
2066,11568580,811580832
2169,12432428,871071912
2272,13811680,967708536
2375,14458028,1012994736
2479,14819116,1038294192
2582,15225404,1066760424
2685,16446864,1152341568
2788,17049132,1195207076
2892,18690768,1310558736
2995,20094448,1408937304
3098,75415304,1501178704
3201,100445128,1614003600
3304,210875408,1662302584
3407,327605428,1711497412
3510,393860368,1808353488
3613,497450016,1841697720
3716,560569420,1944241240
3819,602201236,2052989008
3922,718293980,2115291816
4025,767874524,2202381696
4128,871986492,2284488928
4231,991141840,2294266616
4334,1110472896,2296302800
4437,1230104220,2298343644
4540,1349267260,2300379608
4643,1468842276,2302423244
4746,1588851916,2304472008
4849,1708614404,2306515444
4952,1828376892,2308561024
5055,1948124204,2310603944
5158,2067862844,2312646344
5261,2187805276,2314695256
5365,2257987772,2315873704
