TIME,RECV,XMIT
4,0,0
107,921072,65377200
210,2076052,144420996
313,3276308,228420924
415,4719404,328781748
519,19014956,427832024
622,99192820,495816452
725,176623584,565040372
829,259481116,631762244
932,338413424,702932088
1035,417796368,763201008
1139,493580136,824349572
1242,574418016,885617520
1345,652618432,955910160
1448,735098628,1021205764
1551,810563320,1082072516
1654,885993756,1143349780
1758,966687892,1209084176
1861,1043715004,1277719888
1964,1122607112,1338986868
2067,1197509236,1399234680
2170,1275549384,1457849904
2273,1355624200,1530333404
2377,1433726348,1600786328
2480,1515996508,1661815956
2583,1597447032,1728064224
2686,1679188544,1793421224
2789,1756587096,1862872296
2893,1837158376,1925519440
2996,1912371272,1986636420
3099,1989456280,2046024220
3203,2070598896,2116215804
3306,2152064988,2188545196
3409,2231044592,2246842880
3512,2307170168,2308769020
3616,2387179844,2371670968
3719,2465268236,2442089580
3822,2548524960,2508045696
3925,2629821476,2574462832
4029,2711635384,2635788180
4132,2790119084,2705669144
4235,2868465396,2774887156
4338,2976651144,2861456892
4442,3086565000,2930541340
