TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
623,0,0
726,0,0
829,1304976,91432512
932,2875252,202471676
1035,4463568,313693272
1138,5950264,417532248
1241,6996452,490481040
1344,7746840,543056472
1448,8658984,607195632
1551,10325108,724405440
1654,11758860,824710580
1757,12653520,887118648
1861,13385740,938143272
1964,14321504,1003911432
2067,15774536,1106025840
2170,17248152,1209187152
2273,18277352,1281123792
2377,19206176,1346219728
2480,20359624,1427490528
2583,21828280,1529882952
2686,23198232,1625928792
2789,24225136,1697836120
2892,81157924,1781277556
2995,165815316,1880537568
3098,247501356,1983573992
3202,364366916,2071087076
3305,479451384,2173996044
3407,536343400,2280802180
3510,650764300,2288544716
3613,771892632,2290611980
3717,892916892,2292676656
3820,1013637640,2294736520
3923,1134189276,2296794236
4026,1254682568,2298863728
4129,1375559412,2300925888
4232,1496432996,2302990488
4335,1617793300,2305060860
4438,1738368788,2307118948
4541,1858447804,2309167488
4645,1978712184,2311221508
4748,2099086052,2313274044
4851,2219239860,2315324512
4954,2304711092,2316766476
