TIME,RECV,XMIT
4,0,0
107,20276,2463048
210,1296668,91449888
313,2956572,177359816
416,4189936,263892296
519,6037208,369116568
622,38106744,455085888
725,118671324,518205176
829,197694992,579228324
932,276932112,640015584
1035,354465004,700497652
1138,439879644,758687380
1241,525646836,814834712
1344,604631536,874779884
1447,682743488,934320604
1550,761604076,996974580
1654,843707508,1058215560
1757,925301304,1119177104
1860,1004543880,1179965448
1963,1084010560,1240929876
2066,1163278732,1303047140
2169,1249610932,1361451272
2272,1334648440,1417179148
2375,1413243240,1477613836
2478,1492475616,1537861848
2581,1571338252,1600315188
2684,1653590380,1661597336
2787,1733900652,1721551676
2891,1811837964,1781187296
2994,1891352008,1842253928
3097,1970160860,1903879316
3200,2056671428,1962111020
3303,2142087320,2018880536
3406,2220742420,2079168196
3509,2299165412,2138456564
3612,2377485644,2200882980
3715,2460051172,2262076220
3818,2541842320,2323144212
3921,2620653056,2383421132
4024,2699551408,2444288096
4127,2778647100,2506132484
4231,2865179376,2564025156
4334,2949687192,2620561560
4436,3028350320,2680642684
4540,3107694444,2741256408
4643,3186896156,2803625108
4746,3269321628,2864225704
4849,3350256384,2925170604
4952,3429261340,2985562688
5055,3508739788,3046506948
5158,3587451468,3108441352
5261,3674341056,3166184868
5364,3758515056,3222778020
5467,3837097252,3282967300
5570,3916126860,3343525120
5673,3995069112,3405643676
5776,4077704140,3466601696
5879,4159093068,3527306672
5983,4238903844,3588869484
6086,4317507596,3649017688
6189,4396169488,3709248504
6292,4483519972,3768385308
6395,4567778692,3825498064
6498,4646350452,3885715748
6601,4725301304,3946181532
6704,4804212780,4008332344
6807,4887588452,4069337304
6910,4967592964,4128191848
7014,5046953068,4191226884
7117,5126183368,4251463988
7220,5205432132,4311854636
7323,5293456864,4371003872
7426,5377187004,4428227228
7529,5455357332,4488610284
7632,5534103028,4548449972
7735,5612848712,4610201928
7838,5696219464,4671915256
7941,5777318320,4731114840
8044,5857738024,4795167104
8147,5936549472,4855542328
8250,6015402976,4916090628
8353,6103395152,4973712328
8456,6186581500,5029440268
8559,6266443500,5092913720
8662,6344238924,5152140524
8765,6423620400,5212616612
8869,6481631012,5249558348
8971,6536888996,5250501404
9075,6593651572,5251469620
