TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,254932,7535012
519,254932,7535012
622,796936,45510260
725,805608,45723264
828,5943880,77667028
931,40183104,78233352
1035,40629516,101006672
1138,42174472,118135544
1241,43496856,134326904
1344,45949912,138768224
1447,50767276,139158712
1551,57463128,188944936
1654,120092560,239057724
1757,132939368,262885552
1860,134271636,272463368
1963,135600268,278626356
2067,136876668,283985632
2170,138185644,288607164
2273,139465828,294032340
2376,147507112,347496412
2480,238753992,416198064
2583,337280900,477757500
2686,339119364,477788876
2789,340512420,489039204
2892,341896048,503768636
2996,343406796,529139976
3099,344693760,532140384
3202,345902204,532373812
3305,347317428,548019604
3408,348964232,584723776
3512,350228820,586460820
3615,351448124,588063276
3718,352758648,592714404
3821,354168580,610709560
3924,355621492,628466684
4027,423927940,702338504
4130,520597584,797422676
4233,618306548,897209044
4336,710803468,956775856
4440,712433804,956801016
4543,713758256,965466072
4646,715122944,977358724
4749,716630312,1004202016
4852,717881604,1007741152
4956,723489632,1008133500
5059,804107704,1067552584
5162,860976472,1082324488
5265,892285624,1100688520
5369,923135696,1132374276
5472,954203240,1160992016
5575,985122324,1191131564
5679,1016253800,1220258724
5782,1046985164,1251903112
5885,1077661448,1282984836
5989,1108568408,1314205408
6092,1139330232,1344857664
6195,1172651288,1375643720
6298,1214329268,1406358024
6402,1272207648,1435644472
6505,1370284320,1499635800
6608,1409748912,1521801988
6711,1445538352,1542445736
6815,1480281520,1585732448
6918,1515463756,1622537416
7021,1550431672,1657539328
7125,1585403752,1693570992
7228,1620399360,1729007600
7331,1655308184,1763861076
7435,1690495012,1799002164
7538,1733209744,1834001356
7641,1791552572,1868016044
7744,1867912024,1892162992
7848,1907753484,1975626536
7951,1944340060,2070374208
8054,2017295900,2144522072
8157,2107998692,2238391860
8260,2206789408,2320340692
8364,2271909908,2398064696
8467,2362135092,2490528960
8570,2459700268,2588841752
8673,2556976496,2687755452
8776,2652423272,2763328656
8879,2717635648,2848731004
8982,2813878116,2897942952
9085,2916772404,2916316300
