TIME,RECV,XMIT
4,0,0
107,0,0
211,1281664,90077184
314,2421596,169989408
417,3601084,253190040
520,4870224,342042216
624,6073456,426085584
727,7265592,509733648
830,8470440,593902992
934,9686568,679423320
1037,10902700,764492968
1140,12110956,848834976
1243,13327952,934203264
1347,14523932,1018133688
1450,15746932,1102707244
1553,16953328,1187549908
1656,18158484,1271929944
1760,19363144,1356414220
1863,20573200,1441204756
1966,21779284,1525786780
2070,23002296,1611341860
2173,24206956,1695433012
2276,25409944,1780019380
2379,26622292,1864736068
2482,27818084,1949073748
2586,29044260,2034692904
2689,30249600,2119033828
2792,49565532,2207106476
2895,150911936,2279914812
2998,276959516,2282070928
3101,402887792,2284220036
3204,529119596,2286376988
3307,655108576,2288524024
3410,780901360,2290670984
3513,906788448,2292818760
3616,1032648432,2294968164
3719,1158443384,2297114312
3822,1284555944,2299266012
3925,1410445200,2301415932
4028,1536248816,2303561416
4131,1662057856,2305710744
4234,1788265808,2307862888
4337,1914060760,2310008368
4440,2039897984,2312157920
4543,2165832768,2314307916
4646,2291758880,2316455916
