TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,1252832,88471000
1655,2945620,207444472
1758,4500888,316382208
1861,5979836,419895384
1964,6902832,484199616
2067,7663880,537244200
2171,8572552,601253040
2274,10285428,721625280
2377,11722524,821784888
2480,12588664,882514008
2583,13369492,937096368
2687,14409852,1010715232
2790,68344304,1119184248
2894,169309004,1141666024
2997,248473484,1190694516
3100,250261440,1315876644
3202,278873908,1422681732
3305,355845704,1494025684
3408,469487664,1537478936
3511,579708008,1590885612
3614,612724732,1689819784
3717,662344888,1801908192
3820,755434028,1860018768
3923,862252660,1921277980
4026,943261000,2011638236
4130,1029208932,2063950832
4233,1150651124,2127118928
4336,1272725440,2174406832
4439,1394790740,2224340972
4541,1479542108,2302556508
4645,1603451980,2304672316
4748,1727255616,2306785164
4851,1850857632,2308893868
4954,1974021712,2310996800
5057,2038208608,2312073648
