TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,11698096,82365352
520,11890604,94879316
623,20701672,107260020
726,20718040,107416404
830,29608776,124744924
933,29608776,124744924
1036,38388780,133945820
1139,38388780,133945820
1242,46763828,145454668
1346,46763828,145454668
1449,55523556,153443588
1552,55523556,153443588
1655,65313412,162670488
1758,65515040,163129940
1861,74238508,168803360
1964,74238508,168803360
2068,84043856,178390960
2171,85979772,179783340
2274,94720964,186221452
2377,94720964,186221452
2480,104172024,192767192
2584,107873948,195188588
2687,117358080,201322316
2790,117358080,201322316
2893,126382092,206570860
2996,131305012,207914388
3099,142616604,209553636
3202,142616604,209553636
3305,153023500,209779020
3408,162996300,209949220
3512,177738700,210200820
3615,177738700,210200820
3718,180275260,210244112
3821,184212348,210311304
