RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.45,0.11,0:03.56,0,100590,0,0
90,3.54,0.28,0:03.83,3176,145036,51346,45027
80,3.52,0.41,0:03.94,2552,157346,66136,53762
70,3.54,0.38,0:03.93,2203,164249,70646,62650
60,3.50,0.42,0:03.93,982,167326,70750,69006
50,3.59,0.48,0:04.08,5633,210605,95125,78834
40,3.98,1.87,0:05.86,36903,1197806,608178,295758
30,4.05,1.96,0:06.03,960,1381507,709107,769419
20,4.09,1.99,0:06.11,33,1382449,709085,775966
10,4.17,2.47,0:06.66,39673,1434572,742799,818439
5,4.06,3.41,0:07.50,52737,1852321,821638,1187975
