TIME,RECV,XMIT
4,0,0
107,1024552,72470952
210,2328128,161102252
313,3608240,250686400
416,5137212,357310100
519,23826392,434136632
622,64739044,455242616
726,104650572,479793748
829,145201812,502268936
932,184439840,527788712
1035,224669912,550614856
1137,265673276,574201560
1241,318164220,605331548
1343,372421544,639092576
1447,425750744,672417808
1550,478942604,707313940
1652,532319636,739206984
1755,587440732,773926648
1858,642103032,805155464
1962,697148528,836209796
2064,752242688,866686216
2168,806307484,897023404
2271,861947184,928044492
2374,918299984,961075136
2477,971483596,994705188
2580,1025382008,1026707004
2683,1079375308,1060649720
2786,1132649928,1094218364
2889,1187804308,1124519532
2992,1242689596,1155446712
3095,1298003488,1187826756
3198,1352473096,1218528744
3301,1406841596,1248884292
3404,1463651476,1281552388
3507,1518249996,1313595508
3610,1572208356,1347399440
3713,1626046908,1380805888
3817,1680208772,1416652220
3920,1734421520,1448663524
4022,1789478348,1480615096
4126,1844897112,1512980480
4229,1899048268,1544170824
4332,1953689972,1574840124
4435,2008673968,1605096976
4538,2064604412,1637525144
4641,2118516620,1668567200
4744,2171167680,1702477176
4847,2224137952,1733577372
4950,2275622860,1765153552
5054,2330540132,1798461012
5157,2385022500,1830039252
5260,2439326624,1859038932
5363,2494179552,1889358248
5466,2548889260,1920255344
5569,2603427444,1951663452
5672,2659756756,1985506748
5775,2711524636,2016989496
5878,2763900940,2048078392
5981,2817303732,2082120360
6084,2871479124,2115378840
6187,2927642868,2150634508
6290,2982746764,2179531680
6393,3037378424,2209654160
6496,3093145236,2241079952
6599,3147344640,2272207504
6702,3202677732,2304810720
6805,3258045188,2337028312
6908,3310884284,2369379164
7011,3363564340,2402228852
7114,3415277316,2433837160
7217,3468572184,2466016688
7321,3524190488,2499604312
7424,3578544800,2530827540
7527,3631024784,2560033004
7630,3684614708,2588988240
7733,3737903460,2617785448
7836,3793228684,2649412764
7939,3848941984,2681346540
8042,3902592940,2716540380
8145,3956537524,2748470216
8248,4009746684,2782039452
8351,4064458708,2816407280
8454,4120926852,2848837640
8557,4173787956,2877899684
8660,4227388752,2908165132
8763,4279781612,2937701812
8866,4333530684,2967562284
8969,4389228568,3000480704
9072,4442835244,3031236976
9175,4495249912,3061752188
9278,4548831676,3096945436
9382,4601909648,3128997188
9485,4655130960,3163293012
9588,4712213380,3200250032
9691,4772641464,3241457480
9794,4832410016,3285955164
9897,4892009732,3327232988
10000,4973225740,3342858048
