TIME,RECV,XMIT
3,0,0
107,0,0
210,0,0
313,0,0
415,0,0
518,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1549,1279864,90433392
1653,2983004,210067168
1756,4371680,307311936
1859,5938608,416776392
1963,6721356,471037296
2066,7510308,526927200
2169,8275016,580206360
2272,9708268,681175048
2375,11451460,803357640
2479,12311524,863663228
2582,13245492,928905764
2685,14138416,991583160
2788,52003900,1094597716
2891,98915948,1196264560
2994,215910652,1271714900
3096,333093288,1342017216
3199,410525668,1436658884
3302,475824788,1541129292
3405,574128172,1630693200
3508,690523600,1715247380
3611,771623256,1817165596
3714,851242996,1904055732
3816,950672568,2002946208
3919,1066383080,2099204316
4022,1158881544,2198569620
4125,1232609872,2297580172
4228,1353656416,2300570116
4331,1474405344,2302633236
4434,1594894112,2304691472
4537,1715226784,2306741792
4640,1835683028,2308797288
4743,1955829252,2310848496
4846,2076350544,2312905992
4949,2196277796,2314952092
5052,2303308708,2316761096
