TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,266972,19764116
520,1867128,131871904
623,12369820,213374932
726,17734972,225414720
829,18237640,225705592
932,34807572,242534988
1035,35483620,242824476
1139,36358756,243398044
1241,37402996,243969024
1345,50798852,256846080
1448,57165192,273069600
1551,59108616,275291608
1654,61023656,276436084
1757,63927548,282170556
1860,83973000,301352340
1963,87988136,301427376
2067,91626040,301482952
2170,96092120,301559172
2273,100278528,301636132
2376,120508136,301975864
2479,124930856,302051344
2582,128273912,302108400
2686,132731320,302184472
2789,143490364,302623644
2892,157241988,302854672
2995,160541684,302910984
3098,164999092,302987056
3201,169421812,303062536
3304,186718116,303361868
3407,193837828,303479232
3511,198251876,303554564
3614,201603604,303611764
3717,204911972,303668228
3820,226023956,304028532
3923,230481364,304104604
4026,234904084,304180084
4129,239124100,304256156
4232,248193924,304410448
4335,263790516,304673072
4438,267090212,304729388
