TIME,RECV,XMIT
4,0,0
107,0,0
209,0,0
312,0,0
415,0,0
518,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1549,0,0
1653,0,0
1756,0,0
1859,0,0
1962,0,0
2065,0,0
2168,0,0
2270,0,0
2374,0,0
2477,0,0
2580,0,0
2683,0,0
2786,0,0
2889,0,0
2992,0,0
3095,0,0
3198,0,0
3301,0,0
3404,0,0
3507,0,0
3610,0,0
3713,0,0
3817,0,0
3920,0,0
4023,0,0
4126,0,0
4229,0,0
4332,0,0
4435,0,0
4538,0,0
4641,0,0
4744,0,0
4847,0,0
4950,0,0
5053,95104,6359688
5157,1077180,71141936
5260,2239556,152332380
5363,3426420,235587320
5466,5195840,359521640
5569,6892284,478080252
5673,8236528,545431868
5776,10450300,559071836
5880,13665868,567848016
5983,17819028,573603204
6086,22006624,574516832
6189,73414240,575394176
6292,73414240,575394176
6395,73414240,575394176
6498,74116204,624576944
6602,75729240,737356168
6705,77070672,830365924
6808,117521216,831055900
