RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,100697,72202.73,653.195,,,,,,,,,,,100697,2845.764,21.668,,,
100,1,1322,1760.224,2.380,,,,,,,,,,,1322,44.132,0.000,,,
100,2,191,404.343,0.753,,,,,,,,,,,191,16.322,0.002,,,
100,3,972,1295.273,1.550,,,,,,,,,,,972,32.745,0.000,,,
100,4,1255,1585.548,1.640,,,,,,,,,,,1255,67.443,0.224,,,
90,0,142318,478521.5,199349.4,38314,377616.9,24276.54,1,15859.54,0.000,,41541,1488.364,148.135,142318,4195.467,61.649,,12696.25,
90,1,1219,1609.130,1.624,2,26.520,8.405,,,,,10,0.350,0.000,1219,44.445,0.000,,3.786,
90,2,268,538.316,1.862,,,,,,,,,,,268,20.904,0.002,,,
90,3,3151,3798.344,53.412,,,,,,,,,,,3151,133.237,0.643,,,
90,4,1536,2064.864,1.368,,,,,,,,,,,1536,56.002,0.000,,,
80,0,152752,588801.5,317444.5,50251,480490.8,32750.23,2,42960.76,51736460,,52128,1852.537,67.754,152752,4661.544,104.638,,16718.80,
80,1,1376,1861.408,2.151,2,21.380,26.630,,,,,4,0.098,0.000,1376,48.548,0.000,,2.880,
80,2,490,732.399,0.643,,,,,,,,,,,490,26.625,0.001,,,
80,3,1579,2014.430,1.678,,,,,,,,,,,1579,54.191,0.000,,,
80,4,2693,3476.871,16.356,,,,,,,,,,,2693,108.634,0.001,,,
70,0,198388,812420.1,486754.9,74280,674797.9,78754.42,4,68926.74,6803739,,78270,3410.629,2266.342,198388,6082.359,208.612,,24838.91,
70,1,1929,2559.926,1.888,,,,,,,,,,,1929,81.691,0.122,,,
70,2,777,1167.523,3.157,,,,,,,,,,,777,37.755,0.001,,,
70,3,2211,2948.787,17.471,7,61.198,7.579,,,,,8,0.366,0.000,2211,94.044,0.860,,9.684,
70,4,1759,2450.137,2.932,,,,,,,,,,,1759,62.742,0.000,,,
60,0,217475,913378.0,500918.0,85692,758312.7,94382.91,4,72077.32,8848231,,91023,4252.484,33303.26,217475,7037.747,3032.819,,28645.81,
60,1,1766,2544.239,2.357,11,93.318,9.968,,,,,19,5.602,1.304,1766,85.841,0.121,,11.015,
60,2,468,814.200,2.261,,,,,,,,,,,468,30.106,0.001,,,
60,3,1971,2575.208,3.039,,,,,,,,,,,1971,74.723,0.000,,,
60,4,1071,1459.837,2.250,,,,,,,,,,,1071,41.354,0.000,,,
50,0,243272,987943.6,2889064,91379,805706.5,463951.2,4,63275.58,8289624,,108185,14949.41,176315.4,243272,7443.151,658.679,,32969.40,
50,1,4184,4876.879,364.134,,,,,,,,,,,4184,167.397,0.034,,,
50,2,813,1358.851,3.340,1,12.718,0.000,,,,,4,0.179,0.001,813,39.285,0.001,,1.949,
50,3,2444,3318.818,6.376,3,25.828,3.915,,,,,11,7.437,4.370,2444,86.570,0.000,,5.667,
50,4,2032,2863.002,2.599,,,,,,,,,,,2032,87.203,0.132,,,
40,0,1139124,3405382,6050216,164224,1825780,1603309,4,73269.59,1968146,,717346,831835.1,48889167,1139124,38214.76,5315.171,,158373.5,
40,1,2778,3842.305,5.991,1,12.145,0.000,,,,,5,0.216,0.001,2778,100.431,0.000,,2.577,
40,2,697,1408.691,6.282,8,100.750,50.401,,,,,27,0.878,0.000,697,51.192,0.037,,9.338,
40,3,3346,5128.000,9.401,,,,,,,,,,,3346,168.234,0.291,,,
40,4,1832,2480.264,2.109,,,,,,,,,,,1832,65.775,0.000,,,
30,0,1382787,4592928,6444121,246069,2605845,1125833,4,74593.18,29196845,,942181,1065080,5460252,1382787,45438.38,43428.49,,230552.0,
30,1,1557,2022.927,1.757,,,,,,,,,,,1557,59.550,0.000,,,
30,2,328,760.227,0.888,,,,,,,,,,,328,34.327,0.002,,,
30,3,7200,8820.487,1128.355,,,,,,,,,,,7200,304.388,6.604,,,
30,4,4227,5530.159,40.052,,,,,,,,,,,4227,148.124,0.005,,,
20,0,1384256,4586153,1340490,245171,2561447,7490991,4,79774.11,11802627,,952114,1103640,6347681,1384256,45827.35,41160.46,,231909.7,
