TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1138,0,0
1241,0,0
1345,0,0
1448,0,0
1551,0,0
1654,0,0
1757,0,0
1860,0,0
1963,0,0
2067,0,0
2170,0,0
2273,0,0
2376,0,0
2479,0,0
2583,28544556,43583352
2686,64895620,90402392
2789,102847072,134797652
2892,141281316,179467820
2995,179768236,223160904
3099,217796780,268403720
3202,255448972,313796748
3305,293256140,358909292
3409,331045856,404354200
3512,368970932,449954636
3615,406876624,495276252
3718,444795852,540395876
3822,483029128,585780656
3925,520615044,631948832
4028,556885192,678889784
4132,593607880,726066284
4235,630244940,772927820
4338,668452592,817676820
4441,707292336,861427912
4545,746212108,905153868
4648,784582336,949753016
4751,822661552,995198148
4854,860733652,1040059724
4957,898874812,1084907008
5060,936557756,1129898660
5164,962070100,1160359000
