TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,856220,59886384
417,2122756,147040056
521,3238508,224571768
624,4405036,305300664
727,5555136,384470064
830,6676408,462583872
933,7842008,543590784
1037,8961664,621225672
1140,10103208,700222392
1243,11245000,779509080
1346,12366768,857097264
1449,13510108,936848760
1553,14666472,1016652384
1656,15803240,1095588308
1759,16946520,1174985760
1862,18088500,1253834784
1965,19232400,1333391900
2069,20367432,1412212680
2172,21507736,1491364704
2275,22640912,1569665304
2378,23772660,1648299312
2482,24930200,1728567744
2585,26052896,1806531692
2688,27188176,1885309032
2791,28320296,1963619420
2894,29460416,2042799672
2998,70583756,2116428044
3100,140390280,2184550648
3203,209659836,2254114080
3306,298165088,2282530860
3409,365303712,2283671644
3512,425938336,2284705496
3615,486880940,2285755144
3718,550477052,2286840204
3821,613756636,2287920456
3924,677386348,2289005076
4026,740966204,2290090952
4129,800482140,2291106528
4232,862617020,2292168500
4335,925874924,2293246976
4438,989362636,2294330116
4541,1052602108,2295410072
4644,1115986844,2296491360
4746,1179271848,2297571536
4849,1242572028,2298652012
4952,1305670584,2299727748
5055,1365436924,2300747912
5158,1427533864,2301808924
5260,1490853556,2302889028
5363,1554104956,2303968540
5466,1617458252,2305049828
5569,1680718324,2306129416
5672,1744247228,2307213220
5775,1807509468,2308292584
5878,1870841084,2309374464
5980,1930662708,2310394628
6083,1992401928,2311448460
6186,2055819180,2312531008
6289,2118850524,2313606152
6392,2181753964,2314680412
6494,2244959836,2315759036
6597,2306457324,2316800288
