TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,703764,49481424
417,1948660,135178772
521,3069744,212695272
624,4183948,290135760
727,5297900,367094064
831,6401252,443849300
934,7504480,520202688
1037,8610188,597157748
1141,9708456,673020264
1244,10830968,750942936
1348,11924584,826776144
1451,13015040,902295504
1554,14116656,978750984
1658,15240964,1056667148
1761,16342084,1132932576
1864,17435828,1208786424
1968,18547920,1286054232
2071,19652824,1362564024
2175,20764792,1439549472
2278,21861696,1515825768
2381,22970692,1592867708
2485,24076028,1669538208
2588,25182604,1746201120
2692,26292836,1823064956
2795,27391352,1899521520
2898,28496876,1976011752
3002,29598988,2052667076
3105,101463796,2139131732
3208,199155908,2232241680
3311,309260492,2282714836
3414,435322100,2284866832
3517,561516148,2287033560
3620,687254728,2289180744
3723,813530968,2291334440
3826,939672800,2293487764
3929,1065562056,2295635836
4032,1191426376,2297785832
4135,1317444632,2299935460
4238,1443525752,2302086860
4342,1569748884,2304240484
4445,1695696676,2306389296
4548,1821885112,2308544028
4651,1947908788,2310694244
4754,2074058200,2312847052
4857,2200111144,2314998900
4960,2305935560,2316785628
