TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
418,0,0
521,0,0
624,0,0
727,0,0
830,0,0
934,0,0
1037,0,0
1140,0,0
1243,0,0
1346,0,0
1449,0,0
1553,0,0
1656,0,0
1759,0,0
1862,0,0
1965,0,0
2068,0,0
2171,0,0
2275,0,0
2378,0,0
2481,0,0
2584,0,0
2687,0,0
2790,0,0
2894,0,0
2997,0,0
3100,0,0
3203,0,0
3306,0,0
3409,0,0
3513,1272056,88106108
3616,3187480,214356964
3719,43542652,252145904
3822,45329084,252176316
3925,47054812,252205768
4028,48589756,252231964
4132,50146380,252258532
4235,51507884,252281768
4338,52531180,252299232
4441,57630832,270629268
4545,74386460,326065832
4648,92081680,382087584
4751,110123288,438510188
4854,133139560,497494044
4957,159277020,529809212
5061,186475096,582920536
5164,213848624,642529640
5267,241817624,698834224
5371,272531584,734352772
5474,311554508,761651224
5577,354915136,790978252
5680,392804280,833709828
5783,429158424,853435440
5886,448672340,886188980
5989,460383168,903135100
6092,472991168,919596340
6196,486680708,942041520
6299,501524968,963144816
6402,517386644,984700640
6505,534146804,1006119892
6608,551593672,1037877836
6711,568990692,1079849536
6814,587321544,1120890152
6917,606779356,1154650264
7020,628698348,1175309904
7124,653345156,1207608300
7226,679396752,1234745420
7329,710755232,1256603024
7432,741488820,1282057304
7535,787928072,1288086012
7639,839101544,1288948484
7742,866953200,1317319884
7845,870062964,1440132844
7948,933786272,1446927436
8051,988756108,1505175940
8155,1016082264,1589675896
8258,1042924052,1677374488
8361,1094696460,1755982888
8464,1155831780,1773333516
8567,1214559648,1774341912
