TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1862,0,0
1965,0,0
2068,0,0
2171,0,0
2274,0,0
2377,0,0
2481,0,0
2584,0,0
2687,0,0
2790,0,0
2893,0,0
2997,0,0
3100,0,0
3203,0,0
3306,0,0
3409,0,0
3513,0,0
3616,1722412,118008244
3719,41989740,160418792
3823,43052060,160436920
3926,44031996,160453644
4029,45003260,160470220
4132,45983196,160486944
4236,47106220,160506112
4339,47470444,160512328
4442,47470444,160512328
4545,47470444,160512328
4649,47470444,160512328
4752,47757504,181057284
4855,48381844,223648024
4958,49808464,267239484
5062,71108136,324011872
5165,92656980,364163640
5268,92657104,364172328
5371,92756148,369664832
5475,98420132,437754356
5578,108579548,493282108
5681,121918840,550667276
5784,136225652,601507800
5888,152572900,632735316
5991,170336516,680741004
6094,190130044,738083460
6198,211724976,792440672
6301,240191268,861551480
6405,281591612,923409976
6508,343493324,976160696
6611,404847344,981031484
6715,418501408,981267472
6818,423115544,1052857348
6921,477015540,1086259348
7025,502096848,1201463704
7128,508313408,1310896184
7231,573829328,1405801544
7334,644912876,1438990536
